,POI_INDEX,WEBSITE_INDEX,POI_NAME,URL,POI_GOOGLE_TRANSLATE_ENGLISH_NAME,POI_CHINESE_NAME,ENG_NAME_SPACE,INDEX,POI,link,num_reviews,IS_PRIORITIZED
138,139,2,The Southern Ridges,/sight/singapore53/1710114.html,Southern ridge,南部山脊,The Southern Ridges,138.0,南部山脊,/sight/singapore53/1710114.html,"
                                (27条点评)",1
139,140,2,Canopy Playgroundof Changi Airport,/sight/singapore53/1681462.html,"Canopy Playground, Changi Airport",樟宜机场Canopy游乐场,Canopy Playgroundof Changi Airport,139.0,樟宜机场Canopy游乐场,/sight/singapore53/1681462.html,"
                                (31条点评)",1
140,141,2,Singapore Management University,/sight/singapore53/1409772.html,Singapore Management University,新加坡管理大学,Singapore Management University,140.0,新加坡管理大学,/sight/singapore53/1409772.html,"
                                (45条点评)",1
141,142,2,Changi Beach,/sight/singapore53/1683227.html,Changi Beach,樟宜海滩,Changi Beach,141.0,樟宜海滩,/sight/singapore53/1683227.html,"
                                (44条点评)",1
142,143,2,Supertree Grove,/sight/singapore53/2056193.html,Great Forest,擎天大树林,Supertree Grove,142.0,擎天大树林,/sight/singapore53/2056193.html,"
                                (66条点评)",1
143,144,2,Library Orchard,/sight/singapore53/1710211.html,Orchard Road Library,乌节路图书馆,Library Orchard,143.0,乌节路图书馆,/sight/singapore53/1710211.html,"
                                (75条点评)",1
144,145,2,Sakya Muni Buddha Gaya Temple,/sight/singapore53/25844.html,Qiandeng Temple,千灯寺院,Sakya Muni Buddha Gaya Temple,144.0,千灯寺院,/sight/singapore53/25844.html,"
                                (39条点评)",1
145,146,2,Gogreen Thinking Car Adventure,/sight/sentosa776/134483.html,Gogreen Thinking Car Adventure,Gogreen思维车探险旅程,,145.0,Gogreen思维车探险旅程,/sight/sentosa776/134483.html,"
                                (37条点评)",1
146,147,2,Kusu Island,/sight/singapore53/3685.html,Guiyu Island,龟屿岛,Kusu Island,146.0,龟屿岛,/sight/singapore53/3685.html,"
                                (56条点评)",1
147,148,2,Kranji War Memorial,/sight/singapore53/7686.html,Kranji Martyrs Monument,克兰芝烈士纪念碑,Kranji War Memorial,147.0,克兰芝烈士纪念碑,/sight/singapore53/7686.html,"
                                (50条点评)",1
148,149,2,The Changi Museum,/sight/singapore53/7683.html,Changi Museum,樟宜博物馆,The Changi Museum,148.0,樟宜博物馆,/sight/singapore53/7683.html,"
                                (47条点评)",1
149,150,2,Jurong Lake Gardens,/sight/singapore53/1710044.html,Jurong Lake Garden,裕廊湖花园,Jurong Lake Gardens,149.0,裕廊湖花园,/sight/singapore53/1710044.html,"
                                (30条点评)",1
150,151,2,Suntec Singapore International Conventionand Exhibition Centre,/sight/singapore53/1710088.html,Suntec City Convention and Exhibition Center,新达城会展中心,Suntec Singapore International Conventionand Exhibition Centre,150.0,新达城会展中心,/sight/singapore53/1710088.html,"
                                (43条点评)",1
151,152,2,KidZania Singapore,/sight/singapore53/1929966.html,KidZania Singapore,趣志尼亚（KidZania）新加坡,,151.0,趣志尼亚（KidZania）新加坡,/sight/singapore53/1929966.html,"
                                (96条点评)",1
152,153,2,Kuan Im Thong Hood Cho Temple,/sight/singapore53/1710045.html,Guanyintang Buddha Temple,观音堂佛祖庙,Kuan Im Thong Hood Cho Temple,152.0,观音堂佛祖庙,/sight/singapore53/1710045.html,"
                                (37条点评)",1
153,154,2,Malabar Mosque,/sight/singapore53/1486932.html,Maraba Mosque,马拉巴清真寺,Malabar Mosque,153.0,马拉巴清真寺,/sight/singapore53/1486932.html,"
                                (33条点评)",1
154,155,2,National Libraryof Singapore,/sight/singapore53/1711293.html,National Library of Singapore,新加坡国家图书馆,National Libraryof Singapore,154.0,新加坡国家图书馆,/sight/singapore53/1711293.html,"
                                (91条点评)",1
155,156,2,Kranji Farm,/sight/singapore53/1407538.html,Kranji Farm,可兰芝农场,Kranji Farm,155.0,可兰芝农场,/sight/singapore53/1407538.html,"
                                (24条点评)",1
156,157,2,Gogreen Bicycle Rental,/sight/singapore53/2478999.html,Sentosa Bike Roundabout,圣淘沙自行车环岛,Gogreen Bicycle Rental,156.0,圣淘沙自行车环岛,/sight/singapore53/2478999.html,"
                                (17条点评)",1
157,158,2,Zone Xof Changi Airport,/sight/singapore53/1681466.html,Changi Airport Zone X Games Room,樟宜机场Zone X游戏室,Zone Xof Changi Airport,157.0,樟宜机场Zone X游戏室,/sight/singapore53/1681466.html,"
                                (37条点评)",1
158,159,2,Formula Singapore Grand Prix,/sight/singapore53/2479057.html,F1 Singapore Grand Prix,F1新加坡大奖赛,Formula Singapore Grand Prix,158.0,F1新加坡大奖赛,/sight/singapore53/2479057.html,"
                                (21条点评)",1
159,160,2,Van Kleef Aquarium,/sight/singapore53/3684.html,Vancliff Aquarium,范克里夫水族馆,Van Kleef Aquarium,159.0,范克里夫水族馆,/sight/singapore53/3684.html,"
                                (50条点评)",1
160,161,2,Lau Pa Sat,/sight/singapore53/1710055.html,Old Pasar Festival Pavilion,老巴刹祭亭,Lau Pa Sat,160.0,老巴刹祭亭,/sight/singapore53/1710055.html,"
                                (60条点评)",1
161,162,2,OCBCSkyway,/sight/singapore53/2050758.html,OCBC Skyway,OCBC Skyway,OCBCSkyway,161.0,OCBC Skyway,/sight/singapore53/2050758.html,"
                                (32条点评)",1
162,163,2,Cathedralofthe Good Shepherd,/sight/singapore53/132424.html,Shante Cathedral,善特主教座堂,Cathedralofthe Good Shepherd,162.0,善特主教座堂,/sight/singapore53/132424.html,"
                                (31条点评)",1
163,164,2,Marina Square,/sight/singapore53/108080.html,Marina Square,滨海广场,Marina Square,163.0,滨海广场,/sight/singapore53/108080.html,"
                                (11条点评)",1
164,165,2,Tanjong Pagar,/sight/singapore53/1711521.html,Tanjong Pagar,丹戎巴葛,Tanjong Pagar,164.0,丹戎巴葛,/sight/singapore53/1711521.html,"
                                (35条点评)",1
165,166,2,Central Business District,/sight/singapore53/1710150.html,Central Business District,中央商业区,Central Business District,165.0,中央商业区,/sight/singapore53/1710150.html,"
                                (51条点评)",1
166,167,2,Ang Mo Kio Town,/sight/singapore53/1710059.html,Ang Mo Kio,宏茂桥,Ang Mo Kio Town,166.0,宏茂桥,/sight/singapore53/1710059.html,"
                                (20条点评)",1
167,168,2,Anderson Bridge,/sight/singapore53/1711259.html,Anderson bridge,安德逊桥,Anderson Bridge,167.0,安德逊桥,/sight/singapore53/1711259.html,"
                                (51条点评)",1
168,169,2,The Luxe House,/sight/singapore53/1485601.html,The Luxe House,The Luxe House,The Luxe House,168.0,The Luxe House,/sight/singapore53/1485601.html,"
                                (19条点评)",1
169,170,2,Central Fire Station,/sight/singapore53/1710117.html,Central Fire Station,中央消防局,Central Fire Station,169.0,中央消防局,/sight/singapore53/1710117.html,"
                                (48条点评)",1
170,171,2,Kent Ridge Park,/sight/singapore53/1710183.html,Kent Ridge Park,肯特岗公园,Kent Ridge Park,170.0,肯特岗公园,/sight/singapore53/1710183.html,"
                                (19条点评)",1
171,172,2,Spectra,/sight/singapore53/2483503.html,Symphony of Lights,幻彩生辉灯光秀,Spectra,171.0,幻彩生辉灯光秀,/sight/singapore53/2483503.html,"
                                (28条点评)",1
172,173,2,Kong Meng San Phor Kark See Temple,/sight/singapore53/1484710.html,Guangmingshan Pujue Temple,光明山普觉禅寺,Kong Meng San Phor Kark See Temple,172.0,光明山普觉禅寺,/sight/singapore53/1484710.html,"
                                (34条点评)",1
173,174,2,Rain Forest Lumina,/sight/singapore53/4729341.html,Phantom Rainforest Night,幻光雨林之夜,Rain Forest Lumina,173.0,幻光雨林之夜,/sight/singapore53/4729341.html,"
                                (33条点评)",1
174,175,2,Bedok Reservoir Park,/sight/singapore53/1710082.html,Bedok Reservoir Park,勿洛水库公园,Bedok Reservoir Park,174.0,勿洛水库公园,/sight/singapore53/1710082.html,"
                                (26条点评)",1
175,176,2,Lian Shan Shuang Lin Temple,/sight/singapore53/1710149.html,Lianshan Shuanglin Temple,莲山双林寺,Lian Shan Shuang Lin Temple,175.0,莲山双林寺,/sight/singapore53/1710149.html,"
                                (24条点评)",1
176,177,2,Hajjah Fatimah Mosque,/sight/singapore53/1486916.html,Hacha Fatima Mosque,哈查花蒂玛清真寺,Hajjah Fatimah Mosque,176.0,哈查花蒂玛清真寺,/sight/singapore53/1486916.html,"
                                (33条点评)",1
177,178,2,Zouk,/sight/singapore53/1827434.html,Zouk,Zouk,Zouk,177.0,Zouk,/sight/singapore53/1827434.html,"
                                (16条点评)",1
178,179,2,Kids STOP,/sight/singapore53/1710103.html,Kids STOP,Kids STOP儿童站,,178.0,Kids STOP儿童站,/sight/singapore53/1710103.html,"
                                (41条点评)",1
179,180,2,Water World,/sight/singapore53/2855626.html,Future Water World,未来水世界,Water World,179.0,未来水世界,/sight/singapore53/2855626.html,"
                                (19条点评)",1
180,181,2,Jurong Eco Garden,/sight/singapore53/1710202.html,Jurong Eco-Garden,Jurong Eco-Garden,Jurong Eco Garden,180.0,Jurong Eco-Garden,/sight/singapore53/1710202.html,"
                                (23条点评)",1
181,182,2,Li Guangqian Natural History Museum,/sight/singapore53/1710053.html,Li Guangqian Natural History Museum,李光前自然历史博物馆,,181.0,李光前自然历史博物馆,/sight/singapore53/1710053.html,"
                                (17条点评)",1
182,183,2,Sturgeon Bay,/sight/singapore53/1710142.html,Sturgeon Bay,魟鱼湾,,182.0,魟鱼湾,/sight/singapore53/1710142.html,"
                                (34条点评)",1
183,184,2,Tanah Merah Ferry Terminal,/sight/singapore53/1412477.html,Singapore's Tanah Merah Pier (access to Bintan Island ...,新加坡达那美拉码头（通往民丹岛）,Tanah Merah Ferry Terminal,183.0,新加坡达那美拉码头（通往民丹岛）,/sight/singapore53/1412477.html,"
                                (18条点评)",1
184,185,2,Lakeof Dreams,/sight/sentosa776/1558054.html,Lake of Dreams Performance,梦之湖演出,Lakeof Dreams,184.0,梦之湖演出,/sight/sentosa776/1558054.html,"
                                (24条点评)",1
185,186,2,"Syracuse, Singapore",/sight/singapore53/1558257.html,"Syracuse, Singapore",新加坡雪城,,185.0,新加坡雪城,/sight/singapore53/1558257.html,"
                                (15条点评)",1
186,187,2,Garden Rhapsody,/sight/singapore53/2483300.html,Garden Rhapsody,花园狂想曲,Garden Rhapsody,186.0,花园狂想曲,/sight/singapore53/2483300.html,"
                                (21条点评)",1
187,188,2,Changi Space Time Museum,/sight/singapore53/5619359.html,Changi Space Time Museum,樟宜时空体验馆,,187.0,樟宜时空体验馆,/sight/singapore53/5619359.html,"
                                (5条点评)",1
188,189,2,Singapore Indoor Stadium,/sight/singapore53/1711310.html,Singapore Indoor Stadium,新加坡室内体育馆,Singapore Indoor Stadium,188.0,新加坡室内体育馆,/sight/singapore53/1711310.html,"
                                (11条点评)",1
189,190,2,AJ Hackett Sentosa,/sight/sentosa776/2512560.html,AJ Hackett Sentosa,AJ Hackett圣淘沙,,189.0,AJ Hackett圣淘沙,/sight/sentosa776/2512560.html,"
                                (11条点评)",1
190,191,2,Marina Barrage,/sight/singapore53/1711404.html,Marina dike,滨海堤坝,Marina Barrage,190.0,滨海堤坝,/sight/singapore53/1711404.html,"
                                (57条点评)",1
191,192,2,National Design Centre,/sight/singapore53/1710161.html,National Design Center,国家设计中心,National Design Centre,191.0,国家设计中心,/sight/singapore53/1710161.html,"
                                (17条点评)",1
192,193,2,Indian Cultural Center,/sight/singapore53/2055866.html,Indian Cultural Center,印度文化中心,,192.0,印度文化中心,/sight/singapore53/2055866.html,"
                                (6条点评)",1
193,194,2,Padang,/sight/singapore53/1711439.html,Government Building Large Pasture,政府大厦大草场,Padang,193.0,政府大厦大草场,/sight/singapore53/1711439.html,"
                                (36条点评)",1
194,195,2,Woodlands,/sight/singapore53/1710087.html,Woodlands,兀兰,Woodlands,194.0,兀兰,/sight/singapore53/1710087.html,"
                                (10条点评)",1
195,196,2,Labrador Nature Reserve,/sight/singapore53/1710147.html,Labrador Nature Reserve,拉柏多自然保护区,Labrador Nature Reserve,195.0,拉柏多自然保护区,/sight/singapore53/1710147.html,"
                                (20条点评)",1
196,197,2,Churchofthe Sacred Heart,/sight/singapore53/1710186.html,Sacred Heart Cathedral,圣心天主堂,Churchofthe Sacred Heart,196.0,圣心天主堂,/sight/singapore53/1710186.html,"
                                (19条点评)",1
197,198,2,Sisters Islands,/sight/singapore53/1710077.html,Sister island,姐妹岛,Sisters Islands,197.0,姐妹岛,/sight/singapore53/1710077.html,"
                                (9条点评)",1
198,199,2,Cenotaph,/sight/singapore53/1711538.html,monument,纪念碑,Cenotaph,198.0,纪念碑,/sight/singapore53/1711538.html,"
                                (26条点评)",1
199,200,2,Our Ladyof Lourdes Church,/sight/singapore53/1710154.html,Our Lady of Lourdes,露德圣母堂,Our Ladyof Lourdes Church,199.0,露德圣母堂,/sight/singapore53/1710154.html,"
                                (16条点评)",1
200,201,2,Johore Battery,/sight/singapore53/1683247.html,Johor Fort,柔佛炮台,Johore Battery,200.0,柔佛炮台,/sight/singapore53/1683247.html,"
                                (25条点评)",1
201,202,2,Umin Island Cycling,/sight/singapore53/1988787.html,Umin Island Cycling,乌敏岛骑行,,201.0,乌敏岛骑行,/sight/singapore53/1988787.html,"
                                (6条点评)",1
202,203,2,Digital Light Canvas,/sight/singapore53/5101503.html,Phantom of Light-Digital Light and Shadow Symphony,光之魅影- 数字光影幻彩画幕,Digital Light Canvas,202.0,光之魅影- 数字光影幻彩画幕,/sight/singapore53/5101503.html,"
                                (2条点评)",1
203,204,2,Lower Seletar Reservoir Park,/sight/singapore53/1710172.html,Lower Seletar Reservoir,实里达水库下段,Lower Seletar Reservoir Park,203.0,实里达水库下段,/sight/singapore53/1710172.html,"
                                (14条点评)",1
204,205,2,Arab Street,/sight/singapore53/108130.html,Yarra Street,亚拉街,Arab Street,204.0,亚拉街,/sight/singapore53/108130.html,"
                                (4条点评)",1
205,206,2,Sampan Rides,/sight/singapore53/5244341.html,Barge experience,舢舨船体验,Sampan Rides,205.0,舢舨船体验,/sight/singapore53/5244341.html,"
                                (2条点评)",1
206,207,2,ELO WATER Nitrox Spa,/sight/singapore53/5100543.html,ELO WATER Nitrox Spa,ELO WATER高氧浴水疗中心,,206.0,ELO WATER高氧浴水疗中心,/sight/singapore53/5100543.html,"
                                (2条点评)",1
207,208,2,1-Altitude Skydeck Observation Deck,/sight/singapore53/1989245.html,1-Altitude Skydeck Observation Deck,1-Altitude摩天酒吧观景台,,207.0,1-Altitude摩天酒吧观景台,/sight/singapore53/1989245.html,"
                                (22条点评)",1
208,209,2,Singapore Hong San See,/sight/singapore53/1711498.html,Fengshan Temple,凤山寺,Singapore Hong San See,208.0,凤山寺,/sight/singapore53/1711498.html,"
                                (10条点评)",1
209,210,2,Singapore Sports Hub,/sight/singapore53/1685655.html,Singapore Sports City,新加坡体育城,Singapore Sports Hub,209.0,新加坡体育城,/sight/singapore53/1685655.html,"
                                (4条点评)",1
210,211,2,HeadRock VR Theme Park,/sight/singapore53/5099482.html,HeadRock VR Theme Park,HeadRock VR主题乐园,,210.0,HeadRock VR主题乐园,/sight/singapore53/5099482.html,"
                                (16条点评)",1
211,212,2,Klive Sentosa,/sight/singapore53/1973045.html,K-live in Sentosa,圣淘沙K-live,Klive Sentosa,211.0,圣淘沙K-live,/sight/singapore53/1973045.html,"
                                (38条点评)",1
212,213,2,Singapore Tea Experience,/sight/singapore53/1998118.html,Singapore Tea Experience,新加坡茶赏体验,,212.0,新加坡茶赏体验,/sight/singapore53/1998118.html,"
                                (10条点评)",1
213,214,2,Airzone,/sight/singapore53/5058343.html,Airzone suspended playground,Airzone悬空游乐场,Airzone,213.0,Airzone悬空游乐场,/sight/singapore53/5058343.html,"
                                (3条点评)",1
214,215,2,Temple Street,/sight/singapore53/2051598.html,Temple street,Temple Street,Temple Street,214.0,Temple Street,/sight/singapore53/2051598.html,"
                                (15条点评)",1
215,216,2,Flight Experience,/sight/singapore53/1558111.html,Flight Experience,Flight Experience飞行体验,,215.0,Flight Experience飞行体验,/sight/singapore53/1558111.html,"
                                (14条点评)",1
216,217,2,Guanyin Hall,/sight/singapore53/3150463.html,Guanyin Hall,四马路观音堂,,216.0,四马路观音堂,/sight/singapore53/3150463.html,"
                                (15条点评)",1
217,218,2,Art Space Museum,/sight/singapore53/1711317.html,ArtSpace Museum,ArtSpace Museum,Art Space Museum,217.0,ArtSpace Museum,/sight/singapore53/1711317.html,"
                                (23条点评)",1
218,219,2,Supreme Court,/sight/singapore53/1710132.html,Supreme Court,最高法院,Supreme Court,218.0,最高法院,/sight/singapore53/1710132.html,"
                                (25条点评)",1
219,220,2,Elgin Bridge,/sight/singapore53/4932192.html,Elgin Bridge,Elgin Bridge,Elgin Bridge,219.0,Elgin Bridge,/sight/singapore53/4932192.html,"
                                (1条点评)",1
220,221,2,Sasanaransi Buddhist Temple,/sight/singapore53/1710143.html,Singapore Jade Buddha Temple,新加坡缅甸玉佛寺,Sasanaransi Buddhist Temple,220.0,新加坡缅甸玉佛寺,/sight/singapore53/1710143.html,"
                                (25条点评)",1
221,222,2,"Bunker Museum, Singapore",/sight/singapore53/3148719.html,"Bunker Museum, Singapore",新加坡碉堡博物馆,,221.0,新加坡碉堡博物馆,/sight/singapore53/3148719.html,"
                                (3条点评)",1
222,223,2,Empress Place Building,/sight/singapore53/1710104.html,Queen's Place,皇后坊,Empress Place Building,222.0,皇后坊,/sight/singapore53/1710104.html,"
                                (28条点评)",1
223,224,2,Sri Veeramakaliamman Temple,/sight/singapore53/5127237.html,Sri-Villamakaliamman Temple,斯里-维拉玛卡里雅曼兴都庙,Sri Veeramakaliamman Temple,,,,,1
224,225,2,Telok Ayer Street,/sight/singapore53/2053773.html,Telok Ayer Street,直落亚逸街,Telok Ayer Street,224.0,直落亚逸街,/sight/singapore53/2053773.html,"
                                (13条点评)",1
225,226,2,Churchof Saints Peterand Paul,/sight/singapore53/1710129.html,St. Peter's Church,圣伯多禄圣保禄堂,Churchof Saints Peterand Paul,225.0,圣伯多禄圣保禄堂,/sight/singapore53/1710129.html,"
                                (16条点评)",1
226,227,2,Wild Wild Wet,/sight/singapore53/2085776.html,Wild Wild Wet,Wild Wild Wet水上乐园,,226.0,Wild Wild Wet水上乐园,/sight/singapore53/2085776.html,"
                                (11条点评)",1
227,228,2,Omni Theatreby Science Centre Singapore,/sight/singapore53/1711356.html,"Omniscience Theatre, Singapore Science Centre",新加坡科学中心欧姆尼剧院,Omni Theatreby Science Centre Singapore,227.0,新加坡科学中心欧姆尼剧院,/sight/singapore53/1711356.html,"
                                (17条点评)",1
228,229,2,Dalhousie Obelisk,/sight/singapore53/1710095.html,Dachau Monument,达豪施纪念碑,Dalhousie Obelisk,228.0,达豪施纪念碑,/sight/singapore53/1710095.html,"
                                (17条点评)",1
229,230,2,Suntec Duck Boat,/sight/singapore53/4034206.html,Suntec Duck Boat,新达城鸭子船,,229.0,新达城鸭子船,/sight/singapore53/4034206.html,"
                                (18条点评)",1
230,231,2,Bounce Singapore,/sight/singapore53/2117144.html,Singapore Bounce Park,新加坡弹跳乐园,Bounce Singapore,230.0,新加坡弹跳乐园,/sight/singapore53/2117144.html,"
                                (2条点评)",1
231,232,2,Bollywood Veggies,/sight/singapore53/2053327.html,Bollywood Veggies,Bollywood Veggies,Bollywood Veggies,231.0,Bollywood Veggies,/sight/singapore53/2053327.html,"
                                (7条点评)",1
232,233,2,Evening Garden,/sight/singapore53/2742680.html,Evening Garden,晚晴园,,232.0,晚晴园,/sight/singapore53/2742680.html,"
                                (5条点评)",1
233,234,2,Singapore Musical Box Museum,/sight/singapore53/2056451.html,Singapore Musical Box Museum,Singapore Musical Box Museum,Singapore Musical Box Museum,233.0,Singapore Musical Box Museum,/sight/singapore53/2056451.html,"
                                (6条点评)",1
234,235,2,Singapore skyline,/sight/singapore53/4025052.html,Singapore skyline,新加坡天际线,,234.0,新加坡天际线,/sight/singapore53/4025052.html,"
                                (7条点评)",1
235,236,2,OCBCAquatic Centre,/sight/singapore53/1710002.html,OCBC Aquatic Centre,OCBC Aquatic Centre,OCBCAquatic Centre,235.0,OCBC Aquatic Centre,/sight/singapore53/1710002.html,"
                                (16条点评)",1
236,237,2,UOBPlaza,/sight/singapore53/1711454.html,United Overseas Bank Building,大华银行大厦,UOBPlaza,236.0,大华银行大厦,/sight/singapore53/1711454.html,"
                                (22条点评)",1
237,238,2,Sri Krishnan Temple,/sight/singapore53/1711527.html,Chris Nan Hindu Temple,克里斯南兴都庙,Sri Krishnan Temple,237.0,克里斯南兴都庙,/sight/singapore53/1711527.html,"
                                (20条点评)",1
238,239,2,Esplanade Park,/sight/singapore53/2053659.html,Seaside park,滨海公园,Esplanade Park,238.0,滨海公园,/sight/singapore53/2053659.html,"
                                (24条点评)",1
239,240,2,The Cathay Gallery,/sight/singapore53/1710124.html,The Cathay Gallery,The Cathay Gallery,The Cathay Gallery,239.0,The Cathay Gallery,/sight/singapore53/1710124.html,"
                                (14条点评)",1
240,241,2,Midland Trail Indoor Skiing Course,/sight/singapore53/2478791.html,Midland Trail Indoor Skiing Course,美年径室内滑雪课程,,240.0,美年径室内滑雪课程,/sight/singapore53/2478791.html,"
                                (3条点评)",1
241,242,2,Singapore XDTheatre,/sight/singapore53/1998388.html,XD Theater,XD剧院,Singapore XDTheatre,241.0,XD剧院,/sight/singapore53/1998388.html,"
                                (18条点评)",1
242,243,2,Police Heritage Centre,/sight/singapore53/1711260.html,Police Heritage Centre,警察文物中心,Police Heritage Centre,242.0,警察文物中心,/sight/singapore53/1711260.html,"
                                (13条点评)",1
243,244,2,Yueh Hai Ching Temple,/sight/singapore53/1710127.html,Yueh Hai Ching Temple,Yueh Hai Ching Temple,Yueh Hai Ching Temple,243.0,Yueh Hai Ching Temple,/sight/singapore53/1710127.html,"
                                (19条点评)",1
244,245,2,Mega Bounce Crazy Bounce,/sight/sentosa776/1991617.html,Singapore Super Jump,新加坡超级跳,Mega Bounce Crazy Bounce,244.0,新加坡超级跳,/sight/sentosa776/1991617.html,"
                                (15条点评)",1
245,246,2,Madagascar ACrate Adventure,/sight/singapore53/2855706.html,Madagascar: Wooden Box Drifting (Madagascar ...,马达加斯加：木箱漂流记(马达加斯加),Madagascar ACrate Adventure,245.0,马达加斯加：木箱漂流记(马达加斯加),/sight/singapore53/2855706.html,"
                                (16条点评)",1
246,247,2,Lazarus pier private yacht goes to sea,/sight/singapore53/2478889.html,Lazarus pier private yacht goes to sea,Lazarus码头私人游艇出海,,246.0,Lazarus码头私人游艇出海,/sight/singapore53/2478889.html,"
                                (1条点评)",1
247,248,2,Sembawang Park,/sight/singapore53/1710206.html,Sembawang Park,三巴旺公园,Sembawang Park,247.0,三巴旺公园,/sight/singapore53/1710206.html,"
                                (34条点评)",1
248,249,2,Army Museumof Singapore,/sight/singapore53/1711549.html,Singapore Military Museum,新加坡军事博物馆,Army Museumof Singapore,248.0,新加坡军事博物馆,/sight/singapore53/1711549.html,"
                                (15条点评)",1
249,250,2,Kayaking Experience on Umin Island,/sight/singapore53/2479002.html,Kayaking Experience on Umin Island,乌敏岛皮划艇体验,,249.0,乌敏岛皮划艇体验,/sight/singapore53/2479002.html,"
                                (1条点评)",1
250,251,2,Opera Gallery,/sight/singapore53/2053845.html,Opera Gallery,Opera Gallery,Opera Gallery,250.0,Opera Gallery,/sight/singapore53/2053845.html,"
                                (15条点评)",1
251,252,2,Istana Woodneuk,/sight/singapore53/1710131.html,Istana Woodneuk,Istana Woodneuk,Istana Woodneuk,251.0,Istana Woodneuk,/sight/singapore53/1710131.html,"
                                (11条点评)",1
252,253,2,Tour About Singapore,/sight/singapore53/2050922.html,Tour About Singapore,Tour About Singapore,Tour About Singapore,252.0,Tour About Singapore,/sight/singapore53/2050922.html,"
                                (19条点评)",1
253,254,2,Seng Wong Beo Temple,/sight/singapore53/1710072.html,Capital city temple,都城隍庙,Seng Wong Beo Temple,253.0,都城隍庙,/sight/singapore53/1710072.html,"
                                (21条点评)",1
254,255,2,Mosh,/sight/singapore53/1992588.html,Dream,梦思,Mosh,254.0,梦思,/sight/singapore53/1992588.html,"
                                (11条点评)",1
255,256,2,Chinese Heritage Museum,/sight/singapore53/2826468.html,Chinese Heritage Museum,Chinese Heritage Museum,Chinese Heritage Museum,255.0,Chinese Heritage Museum,/sight/singapore53/2826468.html,"
                                (1条点评)",1
256,257,2,Fuk Tak Chi Museum,/sight/singapore53/1710093.html,Ford Temple Museum,福德祠博物馆,Fuk Tak Chi Museum,256.0,福德祠博物馆,/sight/singapore53/1710093.html,"
                                (18条点评)",1
257,258,2,Pororo Park Singapore,/sight/singapore53/2013454.html,Baolulu Little Penguin Amusement Park,宝露露小企鹅游乐园,Pororo Park Singapore,257.0,宝露露小企鹅游乐园,/sight/singapore53/2013454.html,"
                                (12条点评)",1
258,259,2,NUSBaba House,/sight/singapore53/1710085.html,峇 峇 Residence,峇峇住宅,NUSBaba House,258.0,峇峇住宅,/sight/singapore53/1710085.html,"
                                (17条点评)",1
259,260,2,Sembawang Hot Spring,/sight/singapore53/1710067.html,Sembawang Hot Spring,三巴旺温泉,Sembawang Hot Spring,259.0,三巴旺温泉,/sight/singapore53/1710067.html,"
                                (17条点评)",1
260,261,2,Petain Road,/sight/singapore53/1710005.html,Bedang Road,贝当路,Petain Road,260.0,贝当路,/sight/singapore53/1710005.html,"
                                (11条点评)",1
261,262,2,Jubilee Bridge,/sight/singapore53/5218852.html,Jubilee Bridge,Jubilee Bridge,Jubilee Bridge,261.0,Jubilee Bridge,/sight/singapore53/5218852.html,"
                                (3条点评)",1
262,263,2,St Josephs Church,/sight/singapore53/1710181.html,St. Joseph's Church,圣若瑟堂,St Josephs Church,262.0,圣若瑟堂,/sight/singapore53/1710181.html,"
                                (15条点评)",1
263,264,2,Chettiar Temple,/sight/singapore53/1711343.html,Chettiar Hindu Temple,雀替尔印度寺庙,Chettiar Temple,263.0,雀替尔印度寺庙,/sight/singapore53/1711343.html,"
                                (15条点评)",1
264,265,2,Free Singapore Tour,/sight/singapore53/2050709.html,Freedom in Singapore,新加坡自由行,Free Singapore Tour,264.0,新加坡自由行,/sight/singapore53/2050709.html,"
                                (12条点评)",1
265,266,2,The Rinkat JCube,/sight/singapore53/1711254.html,The Rink at JCube,The Rink at JCube,The Rinkat JCube,265.0,The Rink at JCube,/sight/singapore53/1711254.html,"
                                (13条点评)",1
266,267,2,Changi Beach Boardwalk,/sight/singapore53/2050618.html,Changi Beach Boardwalk,Changi Beach Boardwalk,Changi Beach Boardwalk,266.0,Changi Beach Boardwalk,/sight/singapore53/2050618.html,"
                                (3条点评)",1
267,268,2,Miaja Gallery,/sight/singapore53/2056565.html,Miaja Gallery,Miaja Gallery,Miaja Gallery,267.0,Miaja Gallery,/sight/singapore53/2056565.html,"
                                (6条点评)",1
268,269,2,The Other Room,/sight/singapore53/2118279.html,The Other Room,The Other Room,The Other Room,268.0,The Other Room,/sight/singapore53/2118279.html,"
                                (10条点评)",1
269,270,2,Al Abrar Mosque,/sight/singapore53/1710136.html,Al abra mosque,阿尔阿布拉回教堂,Al Abrar Mosque,269.0,阿尔阿布拉回教堂,/sight/singapore53/1710136.html,"
                                (16条点评)",1
270,271,2,Grand Theater,/sight/singapore53/2118530.html,Grand theater,Grand Theater,Grand Theater,270.0,Grand Theater,/sight/singapore53/2118530.html,"
                                (1条点评)",1
271,272,2,Far East Organization Childrens Garden,/sight/singapore53/5457245.html,Far East Organization Children ...,Far East Organization Children's Garden,Far East Organization Childrens Garden,271.0,Far East Organization Children's Garden,/sight/singapore53/5457245.html,"
                                (1条点评)",1
272,273,2,National Stadium,/sight/singapore53/1710152.html,National Sport Stadium,国家体育场,National Stadium,272.0,国家体育场,/sight/singapore53/1710152.html,"
                                (12条点评)",1
