POI_INDEX,POI_CHINESE_NAME,POI_RAW_NAME,URL,TOTAL_REVIEWS,POI_CHINESE_NAME_IS_ENGLISH,POI_NAME,POI_CHINESE_NAME_TRANSLATED,POI_NAME_IS_TRANSLATED,WEBSITE_INDEX
157,新加坡爱来魔相艺术馆  ,Alive Museum Singapore,//place.qyer.com/poi/V2UJYlFiBzFTbVI3Cmw/,1,NA,Alive Museum Singapore,Singapore Elaine Demon Art Museum,0,4
158,陈氏宗祠   ,Tan Si Chong Su,//place.qyer.com/poi/V2UJYlFiBzVTYFI6Cm4/,1,NA,Tan Si Chong Su,Chen&#39;s Ancestral Hall,0,4
159,新加坡圣伯多禄圣保禄堂  ,Church of Saints Peter and Paul,//place.qyer.com/poi/V2YJY1FkBz5TZFI9/,3,NA,Church of Saints Peter and Paul,"St. Peter&#39;s Church, Singapore",0,4
160,露德圣母堂  ,Church of Our Lady of Lourdes,//place.qyer.com/poi/V2YJY1FkBz5TZFI-/,4,NA,Church of Our Lady of Lourdes,Our Lady of Lourdes,0,4
161,皇后坊大厦  ,Empress Place Building,//place.qyer.com/poi/V2UJY1FkBz5TZVI2/,3,NA,Empress Place Building,Queen&#39;s Square Building,0,4
162,直落亚逸礼拜堂  ,Telok Ayer Chinese Methodist Church,//place.qyer.com/poi/V2UJYVFnBz9TbVI-/,3,NA,Telok Ayer Chinese Methodist Church,Telok Ayer Chapel,0,4
163,阿尔阿布拉回教堂  ,Al Abrar Mosque,//place.qyer.com/poi/V2UJYVFnBz9TbVI9/,4,NA,Al Abrar Mosque,Al abra mosque,0,4
164,哈查花蒂玛回教堂  ,Hajjah Fatimah Mosque,//place.qyer.com/poi/V2EJYVFvBzBTbA/,3,NA,Hajjah Fatimah Mosque,Hacha Fatima mosque,0,4
165,善牧主教座堂  ,Cathedral of the Good Shepherd,//place.qyer.com/poi/V2YJY1FnBzBTZVI9/,4,NA,Cathedral of the Good Shepherd,Cathedral of the Good Shepherd,0,4
166,亚米尼亚教堂  ,Armenian Apostolic Church of Saint Gregory the Illuminator,//place.qyer.com/poi/V2UJYlFiBzVTZ1I7Cmo/,1,NA,Armenian Apostolic Church of Saint Gregory the Illuminator,Arminia Church,0,4
167,中正总校竹林楼与牌坊   ,Chung Cheng High School (Main) Administration Building and Entrance Arch,//place.qyer.com/poi/V2UJYlFiBzVTZlI5Cmk/,1,NA,Chung Cheng High School (Main) Administration Building and Entrance Arch,Bamboo Forest Building and Archway at CKS,0,4
168,Orto  ,NA,//place.qyer.com/poi/V2YJZVFuBzZTZlI8/,2,1,Orto  ,Orto,0,4
169,Waterfront Promenade  ,NA,//place.qyer.com/poi/V2YJZVFuBzZTYFI9/,1,1,Waterfront Promenade  ,Waterfront Promenade,0,4
170,The Intan  ,NA,//place.qyer.com/poi/V2YJZVFuBzZTYlI5/,2,1,The Intan  ,The Intan,0,4
171,老饕湾美食中心  ,Makansutra,//place.qyer.com/poi/V2YJYVFuBzNTY1I5/,3,NA,Makansutra,Lao Sha Wan Food Centre,0,4
172,三巴旺公园  ,Sembawang Park,//place.qyer.com/poi/V2UJY1FjBzFTZlI-/,5,NA,Sembawang Park,Sembawang Park,0,4
173,华裔馆  ,Chinese Heritage Centre,//place.qyer.com/poi/V2UJY1FkBz5TYFI_/,12,NA,Chinese Heritage Centre,Chinese Pavilion,0,4
174,白沙公园  ,Pasir Ris Park,//place.qyer.com/poi/V2UJYlFvBzFTbFI6/,5,NA,Pasir Ris Park,Baisha Park,0,4
175,缅甸玉佛寺  ,Sasana Ramsi Burmese Buddhist Temple,//place.qyer.com/poi/V2cJZFFnBzNTZA/,9,NA,Sasana Ramsi Burmese Buddhist Temple,Myanmar Jade Buddha Temple,0,4
176,胡姬山庄  ,Orchidville,//place.qyer.com/poi/V2cJZFFkBzVTbA/,4,NA,Orchidville,Orchid Villa,0,4
177,武吉巴督市镇公园  ,Bukit Batok Town Park,//place.qyer.com/poi/V2EJalFiBz5TYQ/,8,NA,Bukit Batok Town Park,Bukit Batok Town Park,0,4
178,新加坡空军博物馆  ,Air Force Museum of Singapore,//place.qyer.com/poi/V2UJY1FkBz9TZVI8/,6,NA,Air Force Museum of Singapore,Singapore Air Force Museum,0,4
179,新加坡钱币博物馆  ,Singapor Coins and Notes Museum,//place.qyer.com/poi/V2UJYVFgBzJTZFI4/,4,NA,Singapor Coins and Notes Museum,Singapore Coin Museum,0,4
180,洛阳大伯公宫  ,Loyang Tua Pek Kong Temple,//place.qyer.com/poi/V2AJZ1FjBzdTYA/,2,NA,Loyang Tua Pek Kong Temple,Dayanggong Palace in Luoyang,0,4
181,樟宜礼拜堂与博物馆  ,Changi Museum & Chapel,//place.qyer.com/poi/V2EJZlFvBzNTbA/,6,NA,Changi Museum & Chapel,Changi Chapel and Museum,0,4
182,马拉巴清真寺  ,Malabar Muslim Jama-Ath Mosque,//place.qyer.com/poi/V2UJY1FhBzRTZ1I4/,5,NA,Malabar Muslim Jama-Ath Mosque,Maraba Mosque,0,4
183,侨福广场  ,Parkview Square,//place.qyer.com/poi/V2UJY1FkBz5TZ1I2/,4,NA,Parkview Square,Overseas Chinese Plaza,0,4
184,亚历山大医院  ,Alexandra Hospital,//place.qyer.com/poi/V2UJY1FkBz9TYFI6/,5,NA,Alexandra Hospital,Alexandra Hospital,0,4
185,新加坡圣家堂  ,Church of the Holy Family,//place.qyer.com/poi/V2AJZ1FgBzBTZA/,4,NA,Church of the Holy Family,"Sagrada Familia, Singapore",0,4
186,都城隍庙  ,Seng Wong Beo Temple,//place.qyer.com/poi/V2AJa1FuBzFTYg/,2,NA,Seng Wong Beo Temple,Capital city temple,0,4
187,新加坡雕塑广场  ,Sculpture Square,//place.qyer.com/poi/V2UJYVFlBz9TZlI-/,6,NA,Sculpture Square,Singapore Sculpture Square,0,4
188,克兰芝乡村  ,Kranji Countryside,//place.qyer.com/poi/V2UJZVFiBzBTY1I3/,4,NA,Kranji Countryside,Kranji Country,0,4
189,新加坡泰勒印刷学院  ,Singapore Tyler Print Institute,//place.qyer.com/poi/V2EJYFFmBzVTbQ/,4,NA,Singapore Tyler Print Institute,Taylors College of Singapore,0,4
190,圣帕加维那雅加兴都庙  ,Sri Senpaga Vinayagar Temple,//place.qyer.com/poi/V2EJa1FuBz9TYw/,4,NA,Sri Senpaga Vinayagar Temple,Jakarta Hindu Temple,0,4
191,昭南福特车厂纪念馆  ,Memories at Ford Factory,//place.qyer.com/poi/V2UJY1FkBz9TZVI_/,5,NA,Memories at Ford Factory,Zhaonan Ford Depot Memorial,0,4
192,仟湖渔场  ,Qian Hu Fish Farm,//place.qyer.com/poi/V2EJa1FhBzBTYA/,3,NA,Qian Hu Fish Farm,Laohu Fishing Ground,0,4
193,欧亚文化遗产中心  ,Eurasian Heritage Centre,//place.qyer.com/poi/V2UJY1FkBz5TYFI-/,6,NA,Eurasian Heritage Centre,Eurasian Cultural Heritage Centre,0,4
194,福德祠博物馆  ,Fuk Tak Chi Museum,//place.qyer.com/poi/V2UJY1FkBz9TZVI9/,5,NA,Fuk Tak Chi Museum,Ford Temple Museum,0,4
195,直落亚逸集市  ,Telok Ayer Market,//place.qyer.com/poi/V2UJYlFiBzVTZ1I6CmU/,2,NA,Telok Ayer Market,Telok Ayer Fair,0,4
196,芳林公园  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTYVI7Cmo/,1,NA,Fanglin Park,Fanglin Park,1,4
197,加东古董屋  ,Katong Antique House,//place.qyer.com/poi/V2AJZ1FnBzNTZw/,3,NA,Katong Antique House,Katong Antique House,0,4
198,碉堡博物馆  ,Battle Box Museum,//place.qyer.com/poi/V2AJZVFjBz9TbQ/,2,NA,Battle Box Museum,Blockhouse Museum,0,4
199,千光寺  ,Sakaya Muni Buddha Gaya Temple,//place.qyer.com/poi/V2EJZlFuBz5TbQ/,4,NA,Sakaya Muni Buddha Gaya Temple,Qianguang Temple,0,4
200,海滨公园纪念碑群  ,Esplanade Park Memorials,//place.qyer.com/poi/V2UJYlFiBzVTZlI4CmU/,2,NA,Esplanade Park Memorials,Waterfront Park Monuments,0,4
201,皇家雪兰莪锡镴器皿博物馆  ,Royal Selangor Pewter Gallery,//place.qyer.com/poi/V2EJa1FiBzZTbA/,2,NA,Royal Selangor Pewter Gallery,Royal Selangor Tin Museum,0,4
202,内学堂  ,Nei Xue Tang,//place.qyer.com/poi/V2EJa1FjBzBTYw/,3,NA,Nei Xue Tang,Inner school,0,4
203,裕廊镇大会堂  ,Jurong Town Hall,//place.qyer.com/poi/V2UJYlFiBzVTZlI6Cm8/,1,NA,Jurong Town Hall,Jurong Town Hall,0,4
204,普济寺佛学研究会  ,Pu Ji Si Buddhist Research Centre,//place.qyer.com/poi/V2AJa1FgBz9TbA/,1,NA,Pu Ji Si Buddhist Research Centre,Puji Temple Buddhist Research Association,0,4
205,Ketna Patel Studio Gallery  ,NA,//place.qyer.com/poi/V2AJalFmBzZTZw/,1,1,Ketna Patel Studio Gallery  ,Ketna Patel Studio Gallery,0,4
206,Lukisan 艺术长廊  ,Lukisan Art Gallery,//place.qyer.com/poi/V2EJa1FjBzBTZg/,1,NA,Lukisan Art Gallery,Lukisan Art Gallery,0,4
207,新加坡陆路交通展览馆  ,Land Transport Gallery,//place.qyer.com/poi/V2UJYVFgBzJTZFI3/,2,NA,Land Transport Gallery,Singapore Land Transport Exhibition,0,4
208,新加坡玉皇宫  ,Singapore Yu Huang Gong,//place.qyer.com/poi/V2UJYlFiBzVTZ1I3Cm0/,1,NA,Singapore Yu Huang Gong,Singapore Jade Palace,0,4
209,明园和白蜡博物馆  ,Ming Village & Pewter Museum,//place.qyer.com/poi/V2EJZlFuBzBTZw/,1,NA,Ming Village & Pewter Museum,Ming Yuan and Ash Museum,0,4
210,陈旭年宅第  ,Former House of Tan Yeok Nee,//place.qyer.com/poi/V2UJYlFiBzVTZ1I5Cmk/,1,NA,Former House of Tan Yeok Nee,Chen Xunian House,0,4
211,圣特蕾莎教堂  ,Church of St Teresa,//place.qyer.com/poi/V2UJYlFiBzVTZ1I3CmQ/,1,NA,Church of St Teresa,St. Teresa Church,0,4
212,节日步行街  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTYVI3Cmw/,1,NA,Festival Walking Street,Festival Walking Street,1,4
213,马西岭公园  ,Marsiling Park,//place.qyer.com/poi/V2UJZFFvBzBTbVI9Cmg/,1,NA,Marsiling Park,Marsiling Park,0,4
214,新加坡淡滨尼中心 - 综合游泳馆  ,Our Tampines Hub - Swimming Complex,//place.qyer.com/poi/V2UJZ1FgBzBTY1I7Cm8/,0,NA,Our Tampines Hub - Swimming Complex,Singapore Tampines Centre-Swimming Pool,0,4
215,加文纳桥  ,Cavenagh Bridge,//place.qyer.com/poi/V2UJZ1FgBzBTZlI6Cms/,0,NA,Cavenagh Bridge,Gavenna Bridge,0,4
216,Kinetics 攀岩  ,Kinetics Climbing,//place.qyer.com/poi/V2UJZ1FjBzVTZ1I7Cmk/,0,NA,Kinetics Climbing,Kinetics climbing,0,4
217,城市规划展览馆  ,city galary,//place.qyer.com/poi/V2UJZ1FiBz5TYVI4CmU/,0,NA,city galary,Urban Planning Exhibition Hall,0,4
218,碧山公共图书馆  ,Bishan PublicLibrary,//place.qyer.com/poi/V2UJZ1FiBzBTYFI4CmU/,0,NA,Bishan PublicLibrary,Bishan Public Library,0,4
219,Sky Habitat  ,NA,//place.qyer.com/poi/V2UJZ1FiBzBTYFI4Cms/,0,1,Sky Habitat  ,Sky Habitat,0,4
220,新加坡趣智尼亚儿童职场体验公园  ,KidZania Singapore,//place.qyer.com/poi/V2UJYlFiBz5TZFI_Cmw/,0,NA,KidZania Singapore,"Fungenia Children&#39;s Workplace Experience Park, Singapore",0,4
221,国立大学武吉知马校园  ,National University of Singapore (NUS) Bukit Timah Campus,//place.qyer.com/poi/V2UJYlFiBzJTZlI4CmQ/,0,NA,National University of Singapore (NUS) Bukit Timah Campus,National University Bukit Timah Campus,0,4
222,中央医院博物馆  ,Bowyer Block,//place.qyer.com/poi/V2UJYlFiBzJTZlI5Cm8/,0,NA,Bowyer Block,Central Hospital Museum,0,4
223,纳哥德卡殿  ,Former Nagore Dargah,//place.qyer.com/poi/V2UJYlFiBzVTZ1I4CmQ/,0,NA,Former Nagore Dargah,Nagodka,0,4
224,克兰芝阵亡战士纪念碑  ,Kranji War Memorial,//place.qyer.com/poi/V2AJYlFgBz5TYQ/,3,NA,Kranji War Memorial,Kranji Memorial,0,4
225,季节画廊  ,Art Seasons,//place.qyer.com/poi/V2EJZFFlBzdTbQ/,3,NA,Art Seasons,Season gallery,0,4
226,新加坡净宗学会  ,Amitabha Buddhist Centre,//place.qyer.com/poi/V2EJZlFvBzVTYg/,2,NA,Amitabha Buddhist Centre,Singapore Jongjong Institute,0,4
227,马海阿布犹太会堂  ,Maghain Aboth Synagogue,//place.qyer.com/poi/V2UJY1FkBz9TbFI2/,4,NA,Maghain Aboth Synagogue,Maha Abbah Synagogue,0,4
228,Art-2画廊  ,Art-2 Gallery,//place.qyer.com/poi/V2AJY1FmBzdTZw/,0,NA,Art-2 Gallery,Art-2 gallery,0,4
229,Gajah画廊  ,Gajah Gallery,//place.qyer.com/poi/V2EJZVFkBzJTYg/,0,NA,Gajah Gallery,Gajah Gallery,0,4
230,實龍崗上段阿卡夫回教堂  ,Alkaff Upper Serangoon Mosque,//place.qyer.com/poi/V2UJYlFiBzVTZlI6CmU/,0,NA,Alkaff Upper Serangoon Mosque,Upper Akafu Mosque in Serangoon,0,4
231,动物禽鸟天地  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI4Cmw/,0,NA,Animals and Birds World,Animals and Birds World,1,4
232,碧山宏茂桥公园  ,Bishan-Ang Mo Kio Park,//place.qyer.com/poi/V2UJZFFvBzBTZVI9CmQ/,0,NA,Bishan-Ang Mo Kio Park,Bishan Hongmao Bridge Park,0,4
233,前指挥楼  ,Former Command House,//place.qyer.com/poi/V2UJYlFiBzVTZ1I4Cms/,0,NA,Former Command House,Former command building,0,4
234,圣乔治教堂   ,Saint George's Church,//place.qyer.com/poi/V2UJYlFiBzVTYFI6CmQ/,0,NA,Saint George's Church,St. George&#39;s Church,0,4
235,女皇  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTYVI6Cm8/,0,NA,Empress,Empress,1,4
236,新加坡印象  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTYVI2Cmk/,0,NA,Singapore impressions,Singapore impressions,1,4
237,Orchard City Church  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI7Cm4/,0,NA,Orchard city church,Orchard city church,1,4
238,丹戎海滩  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI4Cmk/,0,NA,Tanjong Beach,Tanjong Beach,1,4
239,奇幻乐园POLW  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTYVI3Cm0/,0,NA,Fantasyland POLW,Fantasyland POLW,1,4
240,万象新加坡LIVE  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTYVI2Cmg/,0,NA,Vientiane Singapore LIVE,Vientiane Singapore LIVE,1,4
241,8Q新加坡艺术馆  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTYlI_CmU/,0,NA,8Q Singapore Museum of Art,8Q Singapore Museum of Art,1,4
242,新加坡丰盛灵粮堂Bread of Abundant Life(Singapore)  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTYlI-Cm0/,0,NA,Bread of Abundant Life (Singapore),Bread of Abundant Life (Singapore),1,4
243,汽车人，出发！ – 科幻城市  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI-Cmg/,0,NA,"Autobots, go! – Science Fiction City","Autobots, go! – Science Fiction City",1,4
244,克里斯南兴都庙  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI7Cm0/,0,NA,Chris Nan Hindu Temple,Chris Nan Hindu Temple,1,4
245,長老會恩澤堂裕廊聚會  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI7Cmg/,0,NA,Presbyterian Church,Presbyterian Church,1,4
246,城市丰收教会  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI7Cmk/,0,NA,City Harvest Church,City Harvest Church,1,4
247,King Of Glory Church  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI7Cmo/,0,1,King Of Glory Church  ,King Of Glory Church,0,4
248,Full Gospel Korean Church(Singapore)  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI6Cm4/,0,1,Full Gospel Korean Church(Singapore)  ,"Full Gospel Korean Church, Singapore",0,4
249,Community For Christ Mission  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI6Cmg/,0,1,Community For Christ Mission  ,Community For Christ Mission,0,4
250,Church of the Sacred Heart  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI6Cmk/,0,1,Church of the Sacred Heart  ,Church of the Sacred Heart,0,4
251,Fairfield Methodist Church  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI5Cm4/,0,1,Fairfield Methodist Church  ,Fairfield Methodist Church,0,4
252,Munch-It!  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI5Cms/,0,1,Munch-It!  ,Munch-It!,0,4
253,印比亞山  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI5CmQ/,0,NA,Inbia Mountains,Inbia Mountains,1,4
254,Lifelink Christian Church  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI4Cms/,0,1,Lifelink Christian Church  ,Lifelink Christian Church,0,4
255,Redemption Hill Church  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI3Cm0/,0,1,Redemption Hill Church  ,Redemption Hill Church,0,4
256,仙祖宫  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI3Cm4/,0,NA,Xianzu Palace,Xianzu Palace,1,4
257,牛车水蟹厨神  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI3Cm8/,0,NA,Chinatown Crab Chef,Chinatown Crab Chef,1,4
258,纳哥德卡回教圣殿  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI3Cmo/,0,NA,Nagodka Islam Temple,Nagodka Islam Temple,1,4
259,Light Of Christ City Church  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI2Cm8/,0,1,Light Of Christ City Church  ,Light Of Christ City Church,0,4
260,Singapore Life Church  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI2Cmk/,0,1,Singapore Life Church  ,Singapore Life Church,0,4
261,Foochow Methodist Church  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI2Cmo/,0,1,Foochow Methodist Church  ,Foochow Methodist Church,0,4
262,Kampong Kapor Methodist Church  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI2Cms/,0,1,Kampong Kapor Methodist Church  ,Kampong Kapor Methodist Church,0,4
263,Church Of the True Light  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI2CmQ/,0,1,Church Of the True Light  ,Church Of the True Light,0,4
264,Lighthouse Baptist Church  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYlI_Cmw/,0,1,Lighthouse Baptist Church  ,Lighthouse Baptist Church,0,4
265,莆田天道堂  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYlI_Cm0/,0,NA,Putian Tiandao Hall,Putian Tiandao Hall,1,4
266,Elim Church Assembly Of God  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYlI_CmU/,0,1,Elim Church Assembly Of God  ,Elim Church Assembly Of God,0,4
267,St. Paul's Church  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYlI-Cmo/,0,1,St. Paul's Church  ,St. Paul&#39;s Church,0,4
268,Serangoon Catholic Church St Joseph Dying Aid Assn  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYlI-CmU/,0,1,Serangoon Catholic Church St Joseph Dying Aid Assn  ,Serangoon Catholic Church St Joseph Dying Aid Assn,0,4
269,Tokyo Pasta Mario(威士马广场店)  ,Tokyo Pasta Mario,//place.qyer.com/poi/V2UJYVFnBzFTYlI9Cmk/,0,NA,Tokyo Pasta Mario,Tokyo Pasta Mario,0,4
270,Grace Singapore Chinese Christian Church  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYlI7Cm4/,0,1,Grace Singapore Chinese Christian Church  ,Grace Singapore Chinese Christian Church,0,4
271,New Creation Church  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYlI7Cm8/,0,1,New Creation Church  ,New Creation Church,0,4
272,圣淘沙海事博物馆  ,NA,//place.qyer.com/poi/V2UJZFFvBzBTZFI8Cm0/,0,NA,Sentosa Maritime Museum,Sentosa Maritime Museum,1,4
273,中央消防局  ,Central Fire Station,//place.qyer.com/poi/V2UJYVFnBzZTYlI7Cmg/,0,NA,Central Fire Station,Central Fire Station,0,4
274,翠城新景  ,The Interlace,//place.qyer.com/poi/V2UJZ1FiBzBTYFI3Cmo/,0,NA,The Interlace,New View of Cuicheng,0,4
275,新加坡最高法院  ,Supreme Court Singapore,//place.qyer.com/poi/V2UJZ1FiBzBTYFI3Cmg/,0,NA,Supreme Court Singapore,Supreme Court of Singapore,0,4
276,虎豹别墅  ,Haw Par Villa,//place.qyer.com/poi/V2EJZFFlBz5TYA/,22,NA,Haw Par Villa,Haw Par Villa,0,4
277,圣淘沙自然探索中心  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI5CmU/,0,NA,Sentosa Nature Discovery Centre,Sentosa Nature Discovery Centre,1,4
278,晚晴园  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYlI_Cmk/,0,NA,Evening Garden,Evening Garden,1,4
279,名胜世界娱乐场  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI-Cmk/,0,NA,Resorts World Casino,Resorts World Casino,1,4
280,新加坡玩具博物馆  ,Singapore Mint Museum of Toys,//place.qyer.com/poi/V2UJYVFgBzJTZFI5/,14,NA,Singapore Mint Museum of Toys,Singapore Toy Museum,0,4
281,圣淘沙儿童俱乐部  ,Resorts World Sentosa Kids Club,//place.qyer.com/poi/V2EJa1FnBz5TYFI8/,0,NA,Resorts World Sentosa Kids Club,Sentosa Kids Club,0,4
282,Tiger Sky Tower  ,NA,//place.qyer.com/poi/V2UJYlFiBzFTbVI4Cms/,0,1,Tiger Sky Tower  ,Tiger Sky Tower,0,4
283,蝴蝶园与昆虫王国  ,Butterfly Park and Insect Kingdom,//place.qyer.com/poi/V2UJYVFiBzFTYlI-/,8,NA,Butterfly Park and Insect Kingdom,Butterfly Garden and Insect Kingdom,0,4
284,海底世界  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTYlI_Cm0/,0,NA,The underwater world,The underwater world,1,4
285,甘榜格南  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYlI9CmU/,0,NA,Kampong glam,Kampong glam,1,4
286,Changi Chapel and Museum  ,NA,//place.qyer.com/poi/V2YJZVFuBzZTZ1I3/,3,1,Changi Chapel and Museum  ,Changi Chapel and Museum,0,4
287,新加坡滨海湾街道赛道  ,Marina Bay Street Circuit,//place.qyer.com/poi/V2UJZ1FiBzFTZVI2CmU/,0,NA,Marina Bay Street Circuit,"Marina Bay Circuit, Singapore",0,4
288,新加坡人气景点TOP10  ,NA,//place.qyer.com/poi/V2UJYlFiBz9TYVI4Cms/,0,NA,Top 10 Attractions in Singapore,Top 10 Attractions in Singapore,1,4
289,新加坡河  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYlI8Cm0/,0,NA,Singapore River,Singapore River,1,4
290,新加坡圣淘沙海洋生物园  ,NA,//place.qyer.com/poi/V2UJYVFnBzFTYVI4Cm8/,0,NA,Singapore Sentosa Sea Life Park,Singapore Sentosa Sea Life Park,1,4
291,圣淘沙音乐喷泉  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTYlI2Cmo/,0,NA,Sentosa Music Fountain,Sentosa Music Fountain,1,4
292,滨海湾金沙酒店  ,Marina Bay Sands,//place.qyer.com/poi/V2UJZFFvBzFTZlI3Cm4/,0,NA,Marina Bay Sands,Marina Bay Sands,0,4
293,兀兰海滨公园  ,Woodlands Waterfront Park,//place.qyer.com/poi/V2UJZFFvBzBTbVI9Cmo/,1,NA,Woodlands Waterfront Park,Woodlands Waterfront Park,0,4
294,汤姆森自然公园  ,Thomson Nature Park,//place.qyer.com/poi/V2UJZFFvBzBTbVI-Cmg/,1,NA,Thomson Nature Park,Thomson Nature Park,0,4
295,海军部公园  ,Admiralty Park,//place.qyer.com/poi/V2UJZFFvBzBTbVI-Cm8/,1,NA,Admiralty Park,Admiralty Park,0,4
296,Marine Cove Playground  ,NA,//place.qyer.com/poi/V2UJZFFvBzNTZ1I5CmU/,0,1,Marine Cove Playground  ,Marine Cove Playground,0,4
297,西罗索炮台天空步道  ,Fort Siloso Sky Walk,//place.qyer.com/poi/V2UJZFFvBzVTZFI5Cm8/,0,NA,Fort Siloso Sky Walk,Siloso Fortress Skywalk,0,4
298,印度遗产中心  ,Indian Heritage Centre,//place.qyer.com/poi/V2UJYlFgBzVTZlI2Cm4/,0,NA,Indian Heritage Centre,Indian Heritage Centre,0,4
299,旧福特汽车工厂  ,Former Ford Factory,//place.qyer.com/poi/V2UJYlFiBzJTZlI2Cmw/,0,NA,Former Ford Factory,Old ford car factory,0,4
300,凤山寺  ,Hong San See,//place.qyer.com/poi/V2UJYlFiBzVTYFI6Cmk/,0,NA,Hong San See,Fengshan Temple,0,4
301,Sky Tower  ,NA,//place.qyer.com/poi/V2cJa1FjBzZTYA/,0,1,Sky Tower  ,Sky Tower,0,4
302,新加坡大会堂  ,Former Singapore Conference Hall and Trade Union House,//place.qyer.com/poi/V2UJYlFiBzVTZlI4Cmo/,0,NA,Former Singapore Conference Hall and Trade Union House,Singapore City Hall,0,4
303,斗母宫  ,Tou Mu Kung Temple,//place.qyer.com/poi/V2UJYlFiBzJTZlI2Cmk/,0,NA,Tou Mu Kung Temple,Dou Mu Palace,0,4
304,The House Of Prayer  ,NA,//place.qyer.com/poi/V2UJYVFmBz9TbFI_Cmk/,0,1,The House Of Prayer  ,The House Of Prayer,0,4
305,警察文物中心  ,NA,//place.qyer.com/poi/V2UJYVFmBz9TbFI_Cms/,0,NA,Police Heritage Centre,Police Heritage Centre,1,4
306,Yu Jih Fishball Meat Mee  ,NA,//place.qyer.com/poi/V2UJYVFmBz9TbFI_CmQ/,0,1,Yu Jih Fishball Meat Mee  ,Yu Jih Fishball Meat Mee,0,4
307,Long Hua Coffee & Tea  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTZ1I2Cmw/,0,1,Long Hua Coffee & Tea  ,Long Hua Coffee &amp; Tea,0,4
308,N'Hood Park  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTZ1I2Cm0/,0,1,N'Hood Park  ,N&#39;Hood Park,0,4
309,勿兰镇公园  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTZ1I2Cmk/,0,NA,Bedan Town Park,Bedan Town Park,1,4
310,Hong Huat Vegetarian Food  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTZ1I2CmU/,0,1,Hong Huat Vegetarian Food  ,Hong Huat Vegetarian Food,0,4
311,Xing Wang Shou Gong Ban Mian  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTYFI_Cmw/,0,1,Xing Wang Shou Gong Ban Mian  ,Xing Wang Shou Gong Ban Mian,0,4
312,义顺城镇公园  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTYVI8CmQ/,0,NA,Yishun Town Park,Yishun Town Park,1,4
313,Post-Museum  ,NA,//place.qyer.com/poi/V2UJYVFnBzZTYVI6Cms/,0,1,Post-Museum  ,Post-Museum,0,4
