"POI_INDEX","URL","POI_RAW_NAME","POI_CHINESE_NAME","TOTAL_REVIEWS","POI_CHINESE_NAME_IS_ENGLISH","POI_NAME","POI_CHINESE_NAME_TRANSLATED","POI_NAME_IS_TRANSLATED","WEBSITE_INDEX"
184,"https://www.mafengwo.cn/poi/71462708.html","Ministry of Communications & Information (MCI)","通讯及新闻部","4",NA,"Ministry of Communications & Information (MCI)","Communications and information department",0,3
185,"https://www.mafengwo.cn/poi/50229604.html","Singapore Mass Rapid Transit","新加坡大众捷运系统","2",NA,"Singapore Mass Rapid Transit","Singapore Mass Rapid Transit System",0,3
186,"https://www.mafengwo.cn/poi/66451760.html",NA,"Rainforest Kidzworld","1",1,"Rainforest Kidzworld","Rainforest Kidzworld",0,3
187,"https://www.mafengwo.cn/poi/72433248.html",NA,"莱佛士城购物中心","1",NA,"Raffles City Shopping Centre","Raffles City Shopping Centre",1,3
188,"https://www.mafengwo.cn/poi/50002840.html",NA,"SAM at 8Q","1",1,"SAM at 8Q","SAM at 8Q",0,3
189,"https://www.mafengwo.cn/poi/50226936.html",NA,"Golden Mile Complex","1",1,"Golden Mile Complex","Golden Mile Complex",0,3
190,"https://www.mafengwo.cn/poi/5422939.html","Sago Street","硕莪街","6",NA,"Sago Street","Shuoge Street",0,3
191,"https://www.mafengwo.cn/poi/33182928.html","NUS Baba House","峇峇住宅","1",NA,"NUS Baba House","峇 峇 Residence",0,3
192,"https://www.mafengwo.cn/poi/33181860.html",NA,"KidsSTOP™","1",NA,"KidsSTOP ™","KidsSTOP ™",1,3
193,"https://www.mafengwo.cn/poi/50228248.html","Central Business District","中央商业区","1",NA,"Central Business District","Central Business District",0,3
194,"https://www.mafengwo.cn/poi/34052924.html",NA,"Beach Station","1",1,"Beach Station","Beach station",0,3
195,"https://www.mafengwo.cn/poi/34075592.html",NA,"太阳花园","1",NA,"Sun garden","Sun garden",1,3
196,"https://www.mafengwo.cn/poi/11080.html","Changi Prison Chapel and Museum","樟宜监狱博物馆","4",NA,"Changi Prison Chapel and Museum","Changi Prison Museum",0,3
197,"https://www.mafengwo.cn/poi/33181800.html",NA,"The Cat Museum","1",1,"The Cat Museum","The Cat Museum",0,3
198,"https://www.mafengwo.cn/poi/5538280.html","Lian Shan Shuang Lin Temple","莲山双林寺","2",NA,"Lian Shan Shuang Lin Temple","Lianshan Shuanglin Temple",0,3
199,"https://www.mafengwo.cn/poi/33182800.html",NA,"Esplanade Bridge","2",1,"Esplanade Bridge","Esplanade Bridge",0,3
200,"https://www.mafengwo.cn/poi/33183116.html",NA,"ZhongShan Park","1",1,"ZhongShan Park","ZhongShan Park",0,3
201,"https://www.mafengwo.cn/poi/50228396.html","Vivo City","怡丰城","2",NA,"Vivo City","VivoCity",0,3
202,"https://www.mafengwo.cn/poi/6034081.html","Tiong Bahru Qui Tian Gong Temple","天公庙","3",NA,"Tiong Bahru Qui Tian Gong Temple","Tiangong Temple",0,3
203,"https://www.mafengwo.cn/poi/6017977.html",NA,"日本人墓地公园","3",NA,"Japanese Cemetery Park","Japanese Cemetery Park",1,3
204,"https://www.mafengwo.cn/poi/33182772.html","Padang","政府大厦大草场","1",NA,"Padang","Government Building Large Pasture",0,3
205,"https://www.mafengwo.cn/poi/11009.html",NA,"长老会恩泽堂","4",NA,"Presbyterian Church","Presbyterian Church",1,3
206,"https://www.mafengwo.cn/poi/11044.html","Singapore Discovery Centre","新加坡知新馆","7",NA,"Singapore Discovery Centre","Singapore Knowledge Center",0,3
207,"https://www.mafengwo.cn/poi/34197524.html","Art from the streets","街头艺术","1",NA,"Art from the streets","Street art",0,3
208,"https://www.mafengwo.cn/poi/33182876.html","Geylang Serai New Market","芽笼士乃市场","0",NA,"Geylang Serai New Market","Geylang Serai Market",0,3
209,"https://www.mafengwo.cn/poi/71469396.html","Republic Polytechnic","共和理工学院","1",NA,"Republic Polytechnic","Republican Institute of Technology",0,3
210,"https://www.mafengwo.cn/poi/6034058.html","Hajjah Fatimah Mosque","哈查花蒂玛回教堂","4",NA,"Hajjah Fatimah Mosque","Hacha Fatima mosque",0,3
211,"https://www.mafengwo.cn/poi/6034004.html","Punggol Beach","榜鹅海滩","2",NA,"Punggol Beach","Punggol Beach",0,3
212,"https://www.mafengwo.cn/poi/78160244.html","Crane Dance at Resort World Sentosa
","圣淘沙仙鹤芭蕾表演","1",NA,"Crane Dance at Resort World Sentosa
","Sentosa Crane Ballet Performance",0,3
213,"https://www.mafengwo.cn/poi/50228976.html","The Sentosa Express","圣淘沙特快","1",NA,"The Sentosa Express","Sentosa Express",0,3
214,"https://www.mafengwo.cn/poi/7734397.html","Singapore Poon Yue Association","新加坡番禺会馆","3",NA,"Singapore Poon Yue Association","Singapore Panyu Club",0,3
215,"https://www.mafengwo.cn/poi/33182864.html","Chinese Heritage Centre","华裔馆","1",NA,"Chinese Heritage Centre","Chinese Pavilion",0,3
216,"https://www.mafengwo.cn/poi/5422957.html","Sri Krishnan Temple","克里斯南兴都庙","6",NA,"Sri Krishnan Temple","Chris Nan Hindu Temple",0,3
217,"https://www.mafengwo.cn/poi/33182528.html","Thong Chai Medical Institution","同济医院","1",NA,"Thong Chai Medical Institution","Tongji Hospital",0,3
218,"https://www.mafengwo.cn/poi/50226296.html","Zhujiao Centre (Tekka Market)","竹脚市场","2",NA,"Zhujiao Centre (Tekka Market)","Bamboo Foot Market",0,3
219,"https://www.mafengwo.cn/poi/11007.html","Methodist Church","卫理会教堂","3",NA,"Methodist Church","Methodist Church",0,3
220,"https://www.mafengwo.cn/poi/50229088.html","Singapore Food Festival","新加坡美食节","2",NA,"Singapore Food Festival","Singapore Food Festival",0,3
221,"https://www.mafengwo.cn/poi/33178772.html",NA,"Resorts World Theater","1",1,"Resorts World Theater","Resorts World Theater",0,3
222,"https://www.mafengwo.cn/poi/9257844.html","Temple of 1,000 Lights (Sakya Muni Buddha Gaya)","千灯寺","2",NA,"Temple of 1,000 Lights (Sakya Muni Buddha Gaya)","Qiandeng Temple",0,3
223,"https://www.mafengwo.cn/poi/6034067.html","Nagore Durgha Shrine","纳哥德卡殿","5",NA,"Nagore Durgha Shrine","Nagodka",0,3
224,"https://www.mafengwo.cn/poi/71470148.html",NA,"Alexandra Technopark","1",1,"Alexandra Technopark","Alexandra Technopark",0,3
225,"https://www.mafengwo.cn/poi/33182700.html","Chettiar Temple","雀替尔印度寺庙","1",NA,"Chettiar Temple","Chettiar Hindu Temple",0,3
226,"https://www.mafengwo.cn/poi/52977660.html","Lim Bo Seng Memorial","林谋盛纪念塔","1",NA,"Lim Bo Seng Memorial","Lin Mousheng Memorial Tower",0,3
227,"https://www.mafengwo.cn/poi/50226804.html",NA,"SSFW (Spring Summer Fall Winter)","1",1,"SSFW (Spring Summer Fall Winter)","SSFW (Spring Summer Fall Winter)",0,3
228,"https://www.mafengwo.cn/poi/33181884.html","Lee Kong Chian Natural History Museum","李光前自然历史博物馆","1",NA,"Lee Kong Chian Natural History Museum","Li Guangqian Natural History Museum",0,3
229,"https://www.mafengwo.cn/poi/33182436.html",NA,"Golden Mile Tower","1",1,"Golden Mile Tower","Golden Mile Tower",0,3
230,"https://www.mafengwo.cn/poi/33182812.html",NA,"MCI and MCCY Building","1",1,"MCI and MCCY Building","MCI and MCCY Building",0,3
231,"https://www.mafengwo.cn/poi/6659697.html","Ngee Ann Polytechnic","新加坡义安理工学院","5",NA,"Ngee Ann Polytechnic","Ngee Ann Polytechnic",0,3
232,"https://www.mafengwo.cn/poi/33182720.html","Cenotaph","陣亡紀念碑","1",NA,"Cenotaph","Memorial to the Fallen",0,3
233,"https://www.mafengwo.cn/poi/71648664.html",NA,"Duo residences","1",1,"Duo residences","Duo residences",0,3
234,"https://www.mafengwo.cn/poi/71470180.html",NA,"Keppel Bay","1",1,"Keppel Bay","Keppel Bay",0,3
235,"https://www.mafengwo.cn/poi/6027772.html","Parkview Square","园景广场","3",NA,"Parkview Square","Garden View Plaza",0,3
236,"https://www.mafengwo.cn/poi/5422967.html","Masjid Al-Abrar","阿尔阿布拉回教堂","3",NA,"Masjid Al-Abrar","Al abra mosque",0,3
237,"https://www.mafengwo.cn/poi/33181808.html",NA,"Parkview Museum","1",1,"Parkview Museum","Parkview museum",0,3
238,"https://www.mafengwo.cn/poi/9259581.html","Leong San See Temple","龙山寺","2",NA,"Leong San See Temple","Longshan Temple",0,3
239,"https://www.mafengwo.cn/poi/33182428.html",NA,"Tan Kim Seng Fountain","1",1,"Tan Kim Seng Fountain","Tan Kim Seng Fountain",0,3
240,"https://www.mafengwo.cn/poi/33183212.html",NA,"Bedok Reservoir Park","1",1,"Bedok Reservoir Park","Bedok Reservoir Park",0,3
241,"https://www.mafengwo.cn/poi/33181836.html",NA,"National Design Centre","2",1,"National Design Centre","National Design Centre",0,3
242,"https://www.mafengwo.cn/poi/71648652.html",NA,"The Interlace Condo","1",1,"The Interlace Condo","The Interlace Condo",0,3
243,"https://www.mafengwo.cn/poi/10999.html",NA,"老钟楼","1",NA,"Old clock tower","Old clock tower",1,3
244,"https://www.mafengwo.cn/poi/6033973.html","Changi Naval Base","樟宜海军基地","1",NA,"Changi Naval Base","Changi Naval Base",0,3
245,"https://www.mafengwo.cn/poi/33181908.html","The Changi Museum","樟宜礼拜堂与博物馆","1",NA,"The Changi Museum","Changi Chapel and Museum",0,3
246,"https://www.mafengwo.cn/poi/6027838.html","Lower Peirce Reservoir Park","贝雅士蓄水池下段","1",NA,"Lower Peirce Reservoir Park","Lower section of Bayes Reservoir",0,3
247,"https://www.mafengwo.cn/poi/33182840.html","Telok Ayer Street","直落亚逸街","1",NA,"Telok Ayer Street","Telok Ayer Street",0,3
248,"https://www.mafengwo.cn/poi/33182832.html",NA,"Gillman Barracks","1",1,"Gillman Barracks","Gillman Barracks",0,3
0,"https://www.mafengwo.cn/poi/185902.html","Singapore Coins And Notes Museum","新加坡钱币博物馆","5",NA,"Singapore Coins And Notes Museum","Singapore Coin Museum",0,3
1,"https://www.mafengwo.cn/poi/77345064.html",NA,"樟宜时空体验馆","0",NA,"Changi Space Time Museum","Changi Space Time Museum",1,3
2,"https://www.mafengwo.cn/poi/5541119.html","Malabar Muslim Jama-Ath","马拉巴清真寺","1",NA,"Malabar Muslim Jama-Ath","Maraba Mosque",0,3
3,"https://www.mafengwo.cn/poi/6033960.html",NA,"Rochester Park","1",1,"Rochester Park","Rochester park",0,3
4,"https://www.mafengwo.cn/poi/6042315.html","Hwa Chong Institution","新加坡华侨中学","1",NA,"Hwa Chong Institution","Singapore Overseas Chinese Middle School",0,3
5,"https://www.mafengwo.cn/poi/6033981.html","Foo Hai Ch‘an Monastery","福海禅寺","1",NA,"Foo Hai Ch‘an Monastery","Fuhai Temple",0,3
6,"https://www.mafengwo.cn/poi/72433232.html",NA,"River Safari - Reservoir Cruise","1",1,"River Safari - Reservoir Cruise","River Safari-Reservoir Cruise",0,3
7,"https://www.mafengwo.cn/poi/7646172.html","Sisters' Islands","姐妹岛","1",NA,"Sisters' Islands","Sister island",0,3
8,"https://www.mafengwo.cn/poi/6042068.html","Pandan Reservoir","班丹蓄水池","2",NA,"Pandan Reservoir","Pandan cistern",0,3
9,"https://www.mafengwo.cn/poi/33183188.html",NA,"Upper Seletar Reservoir","1",1,"Upper Seletar Reservoir","Upper Seletar Reservoir",0,3
10,"https://www.mafengwo.cn/poi/20884.html","National Archives of Singapore","国家档案馆","3",NA,"National Archives of Singapore","National Archives",0,3
11,"https://www.mafengwo.cn/poi/10919.html","Sakya Muni Buddha Gaya Temple","释迦牟尼菩提迦耶寺","2",NA,"Sakya Muni Buddha Gaya Temple","Shakyamuni Bodh Gaya Temple",0,3
12,"https://www.mafengwo.cn/poi/7644866.html","Tan Swie Hian Museum","陈瑞献艺术馆","1",NA,"Tan Swie Hian Museum","Chen Ruixian Art Museum",0,3
13,"https://www.mafengwo.cn/poi/34436132.html","Singapore indoor stadium","新加坡室内体育场","0",NA,"Singapore indoor stadium","Singapore Indoor Stadium",0,3
14,"https://www.mafengwo.cn/poi/71641360.html",NA,"Sunflower Garden","0",1,"Sunflower Garden","Sunflower Garden",0,3
15,"https://www.mafengwo.cn/poi/186184.html",NA,"Red Dot Traffic","1",1,"Red Dot Traffic","Red Dot Traffic",0,3
16,"https://www.mafengwo.cn/poi/33179632.html",NA,"The Ritz-Carlton Spa","0",1,"The Ritz-Carlton Spa","The Ritz-Carlton Spa",0,3
17,"https://www.mafengwo.cn/poi/9421361.html","Kandahar Street","干达哈街","1",NA,"Kandahar Street","Gandahar Street",0,3
18,"https://www.mafengwo.cn/poi/74630440.html",NA,"坤成路","0",NA,"Kuncheng Lu","Kuncheng Lu",1,3
19,"https://www.mafengwo.cn/poi/6034053.html","Maghain Aboth Synagogue","马海阿布犹太教堂","1",NA,"Maghain Aboth Synagogue","Maha Abu Synagogue",0,3
20,"https://www.mafengwo.cn/poi/6042120.html","Wu Tai Shan Buddhist Temple","五台山佛公寺","1",NA,"Wu Tai Shan Buddhist Temple","Wutai Mountain Buddha Temple",0,3
21,"https://www.mafengwo.cn/poi/7645361.html",NA,"政府组屋展廊","0",NA,"Government HDB Gallery","Government HDB Gallery",1,3
22,"https://www.mafengwo.cn/poi/50229360.html","F1 - Singapore Grand Prix","世界一级方程式锦标赛新加坡大奖赛","0",NA,"F1 - Singapore Grand Prix","Formula One World Championship Singapore Grand Prix",0,3
23,"https://www.mafengwo.cn/poi/6042152.html","The Bible Society Of Singapore","新加坡圣经公会","0",NA,"The Bible Society Of Singapore","Singapore Bible Society",0,3
24,"https://www.mafengwo.cn/poi/33178716.html","Singapore Visitor Centre","新加坡乌节路游客中心","0",NA,"Singapore Visitor Centre","Orchard Road Visitor Centre, Singapore",0,3
25,"https://www.mafengwo.cn/poi/50228816.html",NA,"Ngee Ann City","0",1,"Ngee Ann City","Ngee Ann City",0,3
26,"https://www.mafengwo.cn/poi/33182524.html",NA,"Fort Canning Lighthouse","0",1,"Fort Canning Lighthouse","Fort canning lighthouse",0,3
27,"https://www.mafengwo.cn/poi/7646189.html",NA,"Nyee Phoe Flower Garden","0",1,"Nyee Phoe Flower Garden","Nyee Phoe Flower Garden",0,3
28,"https://www.mafengwo.cn/poi/50229468.html","River Hongbao","春到河畔迎新春系列活动","0",NA,"River Hongbao","Spring to Riverside New Year Activities",0,3
29,"https://www.mafengwo.cn/poi/7646131.html","Pulau Hantu","韩都岛","0",NA,"Pulau Hantu","Handu Island",0,3
30,"https://www.mafengwo.cn/poi/33183252.html",NA,"Chinese and Japanese Gardens","0",1,"Chinese and Japanese Gardens","Chinese and Japanese Gardens",0,3
31,"https://www.mafengwo.cn/poi/34075588.html",NA,"文化博物馆","0",NA,"Cultural museum","Cultural museum",1,3
32,"https://www.mafengwo.cn/poi/7646154.html","Kranji Countryside","克兰芝乡村","0",NA,"Kranji Countryside","Kranji Country",0,3
33,"https://www.mafengwo.cn/poi/33181916.html","Battlebox","新加坡碉堡博物馆","0",NA,"Battlebox","Bunker Museum, Singapore",0,3
34,"https://www.mafengwo.cn/poi/13258180.html","Queen Elizabeth Walk","伊丽沙白大道","0",NA,"Queen Elizabeth Walk","Elizabeth Avenue",0,3
35,"https://www.mafengwo.cn/poi/50226176.html",NA,"Changi Airport Terminal 3","0",1,"Changi Airport Terminal 3","Changi Airport Terminal 3",0,3
36,"https://www.mafengwo.cn/poi/7645620.html","Empress Place Building","皇后坊","0",NA,"Empress Place Building","Queen&#39;s Place",0,3
37,"https://www.mafengwo.cn/poi/7645241.html","Gajah Gallery","Gajah 画廊","0",NA,"Gajah Gallery","Gajah gallery",0,3
38,"https://www.mafengwo.cn/poi/77280260.html",NA,"VivoCity SkyPark","0",1,"VivoCity SkyPark","VivoCity SkyPark",0,3
39,"https://www.mafengwo.cn/poi/50227320.html",NA,"Orchard Central","0",1,"Orchard Central","Orchard Central",0,3
40,"https://www.mafengwo.cn/poi/7645188.html",NA,"亚洲古代工艺美术馆","0",NA,"Asian Museum of Ancient Crafts","Asian Museum of Ancient Crafts",1,3
41,"https://www.mafengwo.cn/poi/50229748.html",NA,"The Fullerton Monument Tour","0",1,"The Fullerton Monument Tour","The Fullerton Monument Tour",0,3
42,"https://www.mafengwo.cn/poi/7645348.html",NA,"Artmosaic Gallery","0",1,"Artmosaic Gallery","Artmosaic Gallery",0,3
43,"https://www.mafengwo.cn/poi/33183244.html","Changi Beach","樟宜海滩","0",NA,"Changi Beach","Changi Beach",0,3
44,"https://www.mafengwo.cn/poi/33179188.html",NA,"JBS Ayurvedic Healthcare","0",1,"JBS Ayurvedic Healthcare","JBS Ayurvedic Healthcare",0,3
45,"https://www.mafengwo.cn/poi/72434548.html",NA,"Christmas Wonderland at Gardens By The Bay","0",1,"Christmas Wonderland at Gardens By The Bay","Christmas Wonderland at Gardens By The Bay",0,3
46,"https://www.mafengwo.cn/poi/34044748.html","Tiger Brewery Tour","新加坡虎牌啤酒厂之旅","0",NA,"Tiger Brewery Tour","Tiger Brewery Tour of Singapore",0,3
47,"https://www.mafengwo.cn/poi/7645746.html","Eurasian Heritage Centre","欧亚文化遗产中心","0",NA,"Eurasian Heritage Centre","Eurasian Cultural Heritage Centre",0,3
48,"https://www.mafengwo.cn/poi/50228340.html",NA,"Woodlands","0",1,"Woodlands","Woodlands",0,3
49,"https://www.mafengwo.cn/poi/50229496.html",NA,"Marina Bay Singapore Countdown","0",1,"Marina Bay Singapore Countdown","Marina Bay Singapore Countdown",0,3
50,"https://www.mafengwo.cn/poi/50227676.html",NA,"Changi City Point","0",1,"Changi City Point","Changi City Point",0,3
