"","name","tags","service","environment","taste","price","review_number","address","features","stars"
"1","Les Amis","西餐 ","9.2","9.1","9","1442","113封点评","史各士路1号邵氏中心01-16
              +65-67332225
        ","18人推荐
龙虾卷
14人推荐
香煎鹅肝
12人推荐
和牛
","五星商户"
"2","真蓝","东南亚菜 新加坡菜 ","9","9.2","8.3","275","246封点评","亚美尼亚街47/49号
              +65-64400449
        ","67人推荐
黑果鸡
66人推荐
红枣茶
33人推荐
娘惹杂菜
","准五星商户"
"3","无招牌海鲜餐厅(克拉码头店)","海鲜 ","7.3","7.7","7.6","735","344封点评","余东旋街6号克拉码头中心大厦#04-63
              +65-62219959
        ","64人推荐
炒蟹
54人推荐
麦片虾
37人推荐
辣椒螃蟹
","准四星商户"
"4","CUT 牛排馆(滨海湾金沙店)","牛排 ","9.2","9.2","9.2","1564","129封点评","贝弗兰道2号滨海湾金沙购物商城（近戏院）B1-71
              +65-66888517
        ","19人推荐
和牛牛排
9人推荐
小菲力牛排
5人推荐
法芙娜巧克力舒芙蕾
","五星商户"
"5","4 FINGERS CRISPY CHICKEN(ION)","小吃快餐 ","8.1","8.1","8.4","50","87封点评","238801,新加坡乌节弯路2ION ORCHARD大厦#B4-06A
              
        ","16人推荐
炸鸡翅
7人推荐
脆皮炸鸡
2人推荐
地瓜条
","准五星商户"
"6","鼎泰丰(百利宫店)","小吃快餐 中餐 ","8.6","8.7","8.5","136","233封点评","乌节路 290号 B1, 3/6号
              +65-68368336
        ","93人推荐
小笼包
22人推荐
虾仁炒饭
10人推荐
红油炒手
","准五星商户"
"7","海底捞(里峇峇利路店)","火锅 中餐 ","9.1","9.2","9","434","78封点评","克拉码头里峇峇利路3D座2层04
              +65-63378627
        ","11人推荐
捞派牛肉
5人推荐
炸豆皮
3人推荐
羊肉
","五星商户"
"8","小红楼(Prinsep)","海鲜 ","8.9","8.7","9","710","122封点评","68 Prinsep Rd, Singapore 188661, Singapore
              +65-63366080
        ","19人推荐
辣椒螃蟹
14人推荐
胡椒蟹
11人推荐
花雕虾
","五星商户"
"9","忠食馆(滨海湾金沙店)","亚洲菜 ","7.8","7.6","8.2","90","223封点评","滨海湾金沙购物商城，运河层，B2-50
              +65-65060161
        ","22人推荐
海南鸡饭
14人推荐
肉骨茶
8人推荐
南洋咖啡
","四星商户"
"10","味香园传统甜品店(牛车水店)","面包甜点 ","8","7.9","8.9","40","364封点评","63-67 Temple St, Singapore 058611
              +65-62211156
        ","50人推荐
杨枝甘露
27人推荐
芝麻糊
26人推荐
榴莲雪花冰
","准五星商户"
"11","添好运(城联广场店)","茶餐厅 粤菜 ","8.5","8.6","8.9","162","167封点评","莱佛士连道一号城联广场B1-63/63A
              +65-62222000
        ","58人推荐
脆皮焗叉烧包
23人推荐
菠菜鲜虾饺
22人推荐
腐皮卷
","准五星商户"
"12","黎记海南鸡饭(马里士他店)","东南亚菜 ","8.6","8.7","8.9","75","178封点评","马里士他路342号
              +65-62522318
        ","49人推荐
海南鸡饭
24人推荐
烧鸡饭套餐
13人推荐
薏米水
","准五星商户"
"13","五星海南鸡饭(东海岸路店)","粤菜 中餐 ","8.5","8.1","9","105","160封点评","东海岸路191号
              +65-63445911
        ","49人推荐
海南鸡饭
20人推荐
豆腐
11人推荐
薏米水
","准五星商户"
"14","Hard Rock CAFE(Sentosa)","西餐 ","9","9.1","9","256","128封点评","圣淘沙岛The Forum一层209至214
              
        ","9人推荐
小吃拼盘
8人推荐
桃木熏烤组合
5人推荐
牛肋排
","五星商户"
"0","Candlenut","东南亚菜 ","9.1","9.1","8.5","548","99封点评","登布西路17号A
              +65-1800-3042288
        ","13人推荐
娘惹小金杯
9人推荐
蟹肉鸡肉丸汤
7人推荐
咖喱蓝螃蟹
","准五星商户"
"1","KOI The(Vivo City)","奶茶/果汁 ","8.6","8.4","8","20","89封点评","Vivo City Shopping Mall #B2-06B, 1 Harbourfront Walk, Singapore 098585
              
        ","28人推荐
黄金珍奶
8人推荐
红茶玛奇朵
5人推荐
珍珠乌龙奶茶
","准五星商户"
"2","跃银餐厅(滨海湾金沙店)","日本料理 ","9.2","9.3","9.2","2833","71封点评","滨海湾金沙购物商城，2 层餐饮区，L2-01
              +65-66888507
        ","24人推荐
海胆
19人推荐
和牛
11人推荐
甜品
","五星商户"
"3","跳舞螃蟹(乌节路店)","海鲜 ","9","9","9.1","669","170封点评","乌节中央城7层14/15
              +65-65091878
        ","36人推荐
胡椒蟹
24人推荐
Combo Bag
19人推荐
Dungeness Crab
","五星商户"
"4","御宝粥面专家","中餐 ","8.6","8.6","9","168","99封点评","238801,新加坡乌节弯路2ION ORCHARD大厦#B3-17
              
        ","21人推荐
各种粥
12人推荐
虾子捞面
9人推荐
虾饺
","准五星商户"
"5","麦当劳(marina gradens drive)","小吃快餐 汉堡 ","8.8","8.6","8.9","65","72封点评","McDonald's gardens by the bay 18 marina gradens drive #02-04 gardens by the bay singapore
              +65-64432704
        ","6人推荐
Angus Mushroom
3人推荐
巧克力香草冰淇淋
3人推荐
鸡肉汉堡套餐
","准五星商户"
"6","威南记鸡饭餐室","粤菜 中餐 ","8.2","7.9","9","81","167封点评","汤申路101号联合购物广场1层08
              +65-62556396
        ","42人推荐
海南鸡
24人推荐
烧鸡
23人推荐
鸡饭
","准五星商户"
"7","Buffet Town","自助餐 ","8.6","8.7","8.4","233","95封点评","桥北路252号莱佛士城购物中心B1-44E
              +65-68373793
        ","21人推荐
三文鱼
11人推荐
大虾
9人推荐
烤肉串
","准五星商户"
"8","阿秋甜品(金岭店)","面包甜点 ","8.9","8.9","9.1","34","245封点评","汤申路181号金岭购物中心一楼
              +65-62548198
        ","53人推荐
榴莲芒果西米露
50人推荐
榴莲杨枝甘露
13人推荐
雪蛤鲜奶炖木瓜
","五星商户"
"9","鼎泰丰(莱佛士城店)","小吃快餐 中餐 ","8.1","8.3","7.8","181","125封点评","北桥路252莱佛士城购物中心#B1-08
              63366369
        ","10人推荐
红油抄手
7人推荐
松露小笼包
6人推荐
蟹黄小笼包
","四星商户"
"10","蕉叶阿波罗餐厅(跑马铺路店)","印度菜 ","7.9","7.8","7.5","101","320封点评","跑马铺路54号
              +65-62938682
        ","62人推荐
咖喱鱼头
35人推荐
囊
28人推荐
咖喱鸡
","准四星商户"
"11","CÉ LA VI(滨海湾金沙店)","亚洲菜 ","8.9","9.2","8.6","496","186封点评","金沙空中花园酒店大堂3号塔楼L57-01
              +65-65082188
        ","17人推荐
新加坡司令
6人推荐
巧克力榛果蛋糕
5人推荐
刺身拼盘
","五星商户"
"12","328 Katong Laksa(United Square...","小吃快餐 ","7.7","7.4","8.8","35","63封点评","101 Thomson Road #01-K1
              
        ","22人推荐
叻沙
5人推荐
椰子
4人推荐
咖喱鸡饭
","准五星商户"
"13","Food Republic(Wisma Atria)","小吃快餐 ","7.9","7.9","8.3","57","527封点评","乌节路435威士马广场购物中心#04-00
              +65-67379881
        ","61人推荐
海南鸡饭
57人推荐
叻沙
30人推荐
炒虾面
","准五星商户"
"14","乐天皇朝(樟宜机场T3店)","中餐 ","8.8","8.7","8.9","200","67封点评","机场大道65樟宜机场3号航站楼#03-32
              62424372
        ","14人推荐
小笼包
5人推荐
香脆炸鸡
4人推荐
猪肉鲜虾红油抄手
","准五星商户"
"0","添好运(狮城大厦店)","茶餐厅 粤菜 ","8.3","8.3","9","116","188封点评","乌节路68号狮城大厦#01-29A
              +65-62512000
        ","67人推荐
酥皮叉烧包
37人推荐
虾饺皇
23人推荐
豉汁凤爪
","准五星商户"
"1","Monster Curry","日本料理 ","8.6","8.9","8.9","98","60封点评","1 Harbourfront Walk Vivo City #02-126 Singapore 098585
              +65-62213308
        ","9人推荐
咖喱牛排蛋包饭
7人推荐
双人咖喱大餐
3人推荐
鸡排饭
","准五星商户"
"2","裕佳西饼店","面包甜点 ","8.2","8","9","49","159封点评","198887,新加坡坎大哈街24
              +65-62943324
        ","40人推荐
榴莲瑞士卷
39人推荐
kaya roll
15人推荐
班兰瑞士卷
","五星商户"
"3","Jamie's Italian(orchard road)","西餐 ","9","9.1","8.8","281","51封点评","583 Orchard Road #01 01-04 Forum Singapore 238884
              66557676
        ","9人推荐
明虾意式宽面 Prawn Linguine
7人推荐
羊排
2人推荐
牛排
","五星商户"
"4","长堤海鲜楼(UDMC)","海鲜 ","8.9","8.8","9","509","309封点评","东海岸1202东海岸海鲜中心#01-04
              +65-64483636
        ","54人推荐
炒蟹
50人推荐
辣椒螃蟹
27人推荐
麦皮虾
","五星商户"
"5","利苑酒家","粤菜 中餐 ","9","9","8.7","567","83封点评","維多利亚街30号赞美广场1层24
              +65-63393822
        ","9人推荐
杨枝甘露
6人推荐
冰烧三层肉
4人推荐
虾饺
","五星商户"
"6","御寶阁潮州酒家(爱雍店)","中餐 ","9.2","9.1","9.1","802","67封点评","2 Orchard Turn #03-05 Ion Orchard, Singapore 238801
              +65-67362118
        ","5人推荐
冻蟹
5人推荐
花胶鸡汤
3人推荐
芋泥羹
","五星商户"
"7","澳西亚牛扒海鲜烧烤","西餐 ","8.8","9","8.7","643","109封点评","圣淘沙名胜世界，节庆大道
              +65-65776560
        ","18人推荐
鹅肝
8人推荐
松阪牛眼肉
7人推荐
三文鱼
","准五星商户"
"8","长堤海鲜酒楼(DEMPSEY店)","海鲜 ","9.2","9","9.3","613","154封点评","登布西路25号
              +65-63232222
        ","51人推荐
黑胡椒蟹
31人推荐
辣椒螃蟹
22人推荐
蛏子王
","五星商户"
"9","松发肉骨茶(樟宜商业园店)","小吃快餐 东南亚菜 ","9.1","9","9.1","90","144封点评","6 Changi Business Park Avenue 1, #01-38 UE BizHub East, Singapore 486017
              +65-66948098
        ","45人推荐
招牌肉骨茶
17人推荐
薏米水
15人推荐
卤猪脚
","五星商户"
"10","28 Hong Kong Street","酒吧 ","9","8.9","9","275","57封点评","28 Hong Kong Street, Singapore
              +65-6583180328
        ","2人推荐
芝士球
1人推荐
汉堡
1人推荐
Juicy
","五星商户"
"11","金珠肉粽","面包甜点 娘惹菜 ","8.4","8.2","8.9","33","109封点评","东海岸路111号
              +65-67412125
        ","18人推荐
娘惹棕
11人推荐
娘惹糕
10人推荐
金珠肉粽
","五星商户"
"12","豆奶茶","奶茶/果汁 ","8.9","8.8","8.9","20","85封点评","维多利亚街201武吉士01-01
              +65-68846817
        ","13人推荐
乌龙玛奇朵
8人推荐
乌龙奶茶
4人推荐
蜂蜜奶茶
","五星商户"
"13","同乐海鲜(乌节路店)","海鲜 ","9.2","9.2","9.2","482","616封点评","乌节路181号乌节中央大楼#11-05
              +65-68344888
        ","133人推荐
同乐招牌辣椒螃蟹
126人推荐
麦片虾
86人推荐
炒蟹
","五星商户"
"14","阿仔海南鸡饭(牛车水店)","东南亚菜 ","8.1","7.3","9","22","150封点评","卡达耶纳卢尔街1
              81376559
        ","48人推荐
海南鸡饭
16人推荐
鸡饭套餐
6人推荐
鸡杂
","五星商户"
"0","Burnt Ends","烤肉 ","9.1","9.1","9.2","821","60封点评","20 Teck Lim Rd
              
        ","16人推荐
Beef marmalade
12人推荐
steak
8人推荐
烤棉花糖
","五星商户"
"1","樂記","中餐 ","9","9.1","8.9","234","34封点评","Plaza Singapura, #03-01， 68  Orchard  RD S 238839
              +65-68844566
        ","18人推荐
辣子鸡
14人推荐
菠萝牛肉
9人推荐
鸳鸯烤鱼
","五星商户"
"2","亚坤(高岛屋店)","面包甜点 小吃快餐 ","9","8.7","9.1","49","71封点评","B2,  Ngee Ann City/Takashimaya, 391A Orchard Road
              67384815
        ","9人推荐
kaya吐司
5人推荐
咖椰吐司
2人推荐
生蛋
","五星商户"
"3","亚坤(白沙浮广场店)","面包甜点 小吃快餐 ","8.5","8.2","9","27","259封点评","维多利亚街200白沙浮广场#B1-11
              63380026
        ","41人推荐
咖椰土司
19人推荐
半数蛋
19人推荐
奶茶
","五星商户"
"4","My Awesome Cafe","法国菜 西餐 ","9.1","9","9","221","50封点评","68630,新加坡直落亚逸街202
              +65-62222007
        ","7人推荐
油封鸭肉汉堡
4人推荐
烟熏三文鱼沙拉
3人推荐
flat white
","五星商户"
"5","津津餐室","中餐 ","7.8","7.3","8.4","82","236封点评","巴米士街19号
              +65-63374640
        ","83人推荐
海南鸡
19人推荐
麦片虾
11人推荐
罗汉果茶
","四星商户"
"6","旺爐","火锅 ","9","9","9.1","208","64封点评","莱佛士坊 #04-28，One Raffles Place, Singapore 048616
              +65-65362185
        ","26人推荐
澳洲肥牛
19人推荐
番茄锅
17人推荐
海鲜拼盘
","五星商户"
"7","Birds of Paradise Gelato Bouti...","冰淇淋 ","9.1","9","9.1","46","78封点评","Singapore,Singapore,63 East Coast Road #01-05,428776
              
        ","12人推荐
伯爵茶香茅
12人推荐
荔枝树莓
8人推荐
桃子玫瑰
","五星商户"
"8","吐司工坊(白沙浮广场店)","东南亚菜 新加坡菜 ","8.3","8.5","8.6","44","118封点评","188021,新加坡维多利亚街200白沙浮广场#01-67
              63334464
        ","19人推荐
传统吐司
10人推荐
薏米水
9人推荐
米台目叻沙
","准五星商户"
"9","Wild Honey","咖啡厅 ","9","9.2","9","224","67封点评","新加坡乌节路333A
              +65-62353900
        ","10人推荐
Iced Latte
8人推荐
European Breakfast
6人推荐
Parisienne
","五星商户"
"10","Long Bar","酒吧 ","9","9.1","9","201","313封点评","海滩路1号,莱佛士酒店
              +65-64121230
        ","13人推荐
新加坡司令
10人推荐
花生米
10人推荐
gin sling
","五星商户"
"11","Hana Japanese Restaurant","日本料理 ","8.9","8.7","7.8","358","293封点评","583 Orchard Road, #01-17 Forum The Shopping Mall, Singapore 238884
              +65-673-75525
        ","113人推荐
咸蛋黄飞面
87人推荐
科学家青苹果饮料
70人推荐
九宫格日式小菜
","四星商户"
"12","梁記巴生肉骨茶","东南亚菜 新加坡菜 ","8.6","7.7","8.9","91","73封点评","251 Geylang Rd, 新加坡 389309
              +65-93801718
        ","26人推荐
肉骨茶
5人推荐
田鸡煲
4人推荐
油菜
","准五星商户"
"13","店小二(乐活城店)","中餐 ","8.8","8.7","8.7","187","58封点评","098585,新加坡海滨步行街1怡丰城#02-137/138
              63769786
        ","11人推荐
当归烤鸭
6人推荐
古法蒸鱼
5人推荐
青柠小芥蓝
","准五星商户"
"14","京华海鲜中餐","中餐 ","9.2","9.2","9","886","70封点评","1 Fullerton Road, One Fullerton #01-02/03
              62240088
        ","15人推荐
鱼子海鲜炒饭
15人推荐
辣椒螃蟹
8人推荐
牛肉炒芦笋
","五星商户"
"0","亚坤(樟城坊店)","面包甜点 小吃快餐 ","9","9","9.1","32","62封点评","5 Changi Business Park Central 1 #B1-36,Changi City Point
              66361877
        ","11人推荐
吐司
6人推荐
奶茶
3人推荐
烤面包
","五星商户"
"1","Lady M Cake Boutique(Westgate)","甜点 ","8.6","8.8","8.9","91","196封点评","#02-25/26 Westgate, 3 Gateway Drive
              +65-62508993
        ","38人推荐
原味千层蛋糕
31人推荐
抹茶千层蛋糕
5人推荐
巧克力千层
","五星商户"
"2","文东记(黄埔西店)","东南亚菜 新加坡菜 ","8.7","8.5","8.8","122","89封点评","330034,新加坡黄埔西34#01-93
              62999880
        ","33人推荐
海南鸡饭
24人推荐
鸡油饭
15人推荐
麦片虾
","准五星商户"
"3","华友园","中餐 ","9.1","8.8","9.3","286","68封点评","462 Upper East Coast Road
              +65-64429313
        ","18人推荐
麦片虾
14人推荐
辣椒螃蟹
13人推荐
胡椒蟹
","五星商户"
"4","黄亚细肉骨茶(仰光路店)","东南亚菜 小吃快餐 ","8.1","7.8","8.6","68","545封点评","仰光路208号
              +65-62914537
        ","160人推荐
招牌肉骨茶
69人推荐
炸油条
36人推荐
薏米水
","准五星商户"
"5","板长寿司(ION店)","日本料理 ","8.4","8.2","9","204","67封点评","乌节弯路2ION ORCHARD大厦#B3-20
              65098911
        ","5人推荐
三文鱼龙虾寿司
4人推荐
炸虾天妇罗
3人推荐
火炙三文鱼配香脆卷
","准五星商户"
"6","真次日本料理(Carlton Hotel)","日本料理 ","9.2","9.2","9.2","987","58封点评","勿拉士巴沙路76号卡尔顿酒店一层
              +65-63386131
        ","12人推荐
寿司
7人推荐
生鱼片
7人推荐
日本水果
","五星商户"
"7","星巴克(环球影城店)","咖啡厅 面包甜点 ","8.9","9","9","50","143封点评","30 Sentosa Gateway #01-309 Singapore 098140
              62386839
        ","11人推荐
抹茶星冰乐
6人推荐
炸虾条
6人推荐
焦糖拿铁
","五星商户"
"8","Singapore Food Treats","小吃快餐 ","7.5","7.3","7.8","83","840封点评","莱佛士大道30#01-09/12
              +65-63381328
        ","77人推荐
肉骨茶
72人推荐
海南鸡饭
72人推荐
甘蔗水
","四星商户"
"9","蓝姜餐厅","中餐 ","8.1","8.7","8.7","234","113封点评","088518,新加坡丹戎巴葛路97
              +65-62223928
        ","17人推荐
咖喱牛肉
14人推荐
榴莲珍多
13人推荐
咖喱蔬菜
","四星商户"
"10","亚坤(港湾中心店)","面包甜点 咖啡厅 ","8.1","7.8","9","28","97封点评","#03-59 Harbourfront Centre, Maritime Square 1
              +65-62767691
        ","28人推荐
椰咖吐司
15人推荐
鸡蛋
14人推荐
奶茶
","准五星商户"
"11","梅尔斯经典快餐","小吃快餐 汉堡 ","7.6","8.3","8.4","96","64封点评","新加坡圣淘沙岛新加坡环球影城好莱坞区
              
        ","7人推荐
招牌芝士汉堡
7人推荐
burger
5人推荐
薯条
","准五星商户"
"12","东兴糕点","面包甜点 ","8.4","8.4","8.5","29","150封点评","桥南路285
              +65-62233649
        ","65人推荐
蛋挞
24人推荐
叉烧酥
11人推荐
蛋黄莲蓉酥饼
","准五星商户"
"13","南京大牌档","中餐 ","8.9","9","8.7","169","129封点评","68 Orchard Road，#04-(46-51)，Plaza Singapura，Singapore 238839
              +65-63527877
        ","22人推荐
金陵盐水鸭
22人推荐
天王烤鸭包
20人推荐
美龄粥
","准五星商户"
"14","Manhattan Bar","酒吧 ","9.2","9.2","9.2","412","113封点评","Level 2, Regent, 1 Cuscaden Rd
              
        ","3人推荐
new york
3人推荐
cocktail
1人推荐
Aged Negroni
","五星商户"
"0","Wing Seong Fatty's (Albert) Re...","中餐 ","9.1","8.8","9.1","433","60封点评","189649,新加坡Bencoolen街175
              63381087
        ","12人推荐
黑胡椒炒蟹
9人推荐
麦片大虾
4人推荐
辣椒螃蟹
","五星商户"
"1","歪歪咖啡店","中餐 ","8.2","7.8","9","32","94封点评","189678,新加坡海滩路37#01-01
              +65-63368813
        ","9人推荐
鸳鸯奶茶
5人推荐
Kaya Toast
3人推荐
炒米粉
","五星商户"
"2","灵芝素食馆(乌节路店)","素食 ","9.2","9.1","9.2","239","43封点评","541 Orchard Rd,Liat Towers,#05-01
              +65-67343788
        ","6人推荐
宫延素甲
4人推荐
咖喱杂菜煲
3人推荐
榄菜芥蓝干炒河粉
","五星商户"
"3","小红楼(罗伯逊码头店)","海鲜 ","9","9","9","389","111封点评","#01-14 The Quayside,60 Robertson Quay
              +65-67357666
        ","19人推荐
黑胡椒蟹
16人推荐
奶皇龙虾
8人推荐
XO象拔蚌炒芦笋
","五星商户"
"4","Brotzeit 德国啤酒吧和餐厅","西餐 ","8.8","9","9","257","66封点评","VivoCity #01-149/151 1 HarbourFront Walk
              62728815
        ","5人推荐
香肠拼盘
3人推荐
薯角
2人推荐
肉丸蘑菇意粉
","五星商户"
"5","蓝莲花","中餐 ","9.1","9.1","9","348","60封点评","098375,新加坡海洋路31Quayside Isle楼#01-13
              
        ","8人推荐
辣蟹
6人推荐
香茅虾球
5人推荐
黑白胡椒牛柳粒
","五星商户"
"6","九巷牛河","中餐 ","7.7","7.4","8.2","96","132封点评","芽笼237号
              
        ","35人推荐
炒牛河
11人推荐
炸鸡翅
6人推荐
甘蔗水
","四星商户"
"7","DB BISTRO & OYSTER BAR BY DANI...","西餐 ","8.4","9","8.7","855","64封点评","滨海湾金沙购物商城，商铺层， B1-48
              +65-66888525
        ","7人推荐
龙虾卷
6人推荐
DB汉堡
4人推荐
招牌海鲜拼盘
","准五星商户"
"8","山鸡麻辣香锅","中餐 川菜 ","9.3","9.1","9.3","41","52封点评","Cathay Cineleisure B1 Koufu Stall R1，Singapore 239695
              +65-97519695
        ","18人推荐
麻辣锅
15人推荐
烤鱼
11人推荐
麻辣烫
","五星商户"
"9","陳生成山瑞补品","中餐 ","9.1","8.6","9.2","134","138封点评","29 Lor Bachok, 新加坡 387791
              +65-67483953
        ","40人推荐
甲鱼汤
37人推荐
芋头饭
29人推荐
乌鸡汤
","五星商户"
"10","永成餐室","中餐 ","7","6.8","8.9","293","180封点评","427932,新加坡如切广场247
              
        ","42人推荐
大螃蟹
39人推荐
黑胡椒蟹
23人推荐
油条
","准五星商户"
"11","SweetSpot(滨海湾金沙店)","面包甜点 ","9","8.9","9","133","132封点评","滨海湾金沙会展中心3楼
              +65-66888588
        ","8人推荐
树莓挞
6人推荐
拿破仑
2人推荐
拿铁
","五星商户"
"12","甘牌烧味(乌节路店)","中餐 ","8.5","8.4","8.3","210","176封点评","9 Scotts Road  Pacific Plaza 1F
              +65-68367788
        ","35人推荐
甘牌烧鸭全只
29人推荐
陈皮红豆汤
21人推荐
油鸡
","四星商户"
"13","Salt Grill & Sky Bar by Luke M...","西餐 ","9","9.2","8.7","626","74封点评","乌节弯路2号ION ORCHARD大厦#55-01
              +65-65925118
        ","4人推荐
餐前面包
4人推荐
糕点
4人推荐
牛排
","五星商户"
"14","Marché Mövenpick(怡丰城店)","西餐 ","8.3","8.7","8.4","189","64封点评","海滨步行街1怡丰城#03-1
              63768226
        ","10人推荐
西班牙海鲜炖饭
7人推荐
土豆饼
7人推荐
芝士蛋糕
","准五星商户"
"0","Tiong Bahru Bakery","面包甜点 ","8.9","8.8","8.9","92","62封点评","Eng Hoon街56中峇鲁区#01-70
              62203430
        ","9人推荐
巧克力可颂面包
7人推荐
flat white
5人推荐
杏仁抹茶可颂
","五星商户"
"1","發传人肉骨茶(仰光路分店)","肉骨茶 小吃快餐 ","8.8","8.3","8.8","79","139封点评","218431,新加坡仰光路154号
              +65-62920938
        ","51人推荐
肉骨茶
27人推荐
油条
14人推荐
猪脚
","准五星商户"
"2","天景閣","中餐 ","9","9","8.9","265","37封点评","30 Raffles Ave Singapore Flyer #01-04
              +65-68545245
        ","2人推荐
辣椒蟹
2人推荐
麦片虾
2人推荐
黑胡椒蟹
","准五星商户"
"3","亚坤(司家董店)","面包甜点 咖啡厅 ","8.6","8.4","9","29","136封点评","TANGS at Tang Plaza B1 310 Orchard Road
              68365257
        ","15人推荐
吐司
5人推荐
奶茶
4人推荐
kaya toast with butter
","五星商户"
"4","跳舞螃蟹(怡丰城店)","海鲜 ","8.8","8.8","8.8","481","141封点评","1 harbourfront walk #03-10
              +65-62227377
        ","16人推荐
龙虾套餐
11人推荐
特色黑胡椒螃蟹
10人推荐
经典特色辣椒螃蟹
","准五星商户"
"5","面包物语","面包甜点 ","8.6","8.7","8.9","29","78封点评","26 Sentosa Gateway, #B1-203/204 Resorts World Sentosa, 新加坡 098138
              +65-62514414
        ","13人推荐
土司冰淇淋
6人推荐
松松
3人推荐
流沙可颂
","五星商户"
"6","新海山海鲜餐馆","海鲜 中餐 ","8","7.8","8.9","378","159封点评","中巴鲁路55座01-59
              +65-62230810
        ","24人推荐
辣椒蟹
17人推荐
薏米水
16人推荐
胡椒螃蟹
","准五星商户"
"7","吐司工坊(唐城坊店)","东南亚菜 新加坡菜 ","8.4","8.3","8.4","43","103封点评","133 New Bridge Road, #01-45/46 ,Chinatown Point ,S(059413)
              65436261
        ","10人推荐
咖椰吐司
9人推荐
芝士鸡肉吐司
6人推荐
叻沙
","准五星商户"
"8","Texas Chicken","小吃快餐 ","8.4","8.3","8.6","92","65封点评","8 Sentosa Gateway
              
        ","14人推荐
炸鸡
5人推荐
薯泥
2人推荐
烤松饼
","准五星商户"
"9","亚坤(远东广场店)","面包甜点 小吃快餐 ","7.9","7.9","8.5","35","307封点评","中国街18#01-01，远东广场
              
        ","78人推荐
咖椰土司
73人推荐
半熟蛋
41人推荐
奶茶
","准五星商户"
"10","再成发五金","咖啡厅 ","9.1","9.2","8.8","96","82封点评","150 Tyrwhitt Rd, 新加坡 207563
              +65-63960609
        ","4人推荐
Latte
4人推荐
cold brew
3人推荐
White cold brow
","五星商户"
"11","如意传统铜火锅","火锅 ","8.9","9","8.9","234","89封点评","68 Boat quay，Singapore 049856
              +65-65368058
        ","16人推荐
三牛锅底
11人推荐
小龙虾
9人推荐
嫩牛肉
","准五星商户"
"12","SPAGO BY WOLFGANG PUCK(滨海湾...","西餐 ","9","9.2","8.9","939","72封点评","滨海湾金沙酒店，2 号塔楼， 57 层金沙空中花园
              +65-66889955
        ","4人推荐
甜点
2人推荐
餐前面包
2人推荐
鸡块
","五星商户"
"13","新瑞记鸡饭","东南亚菜 海南鸡饭 ","7.4","7.3","7.7","72","115封点评","188391,新加坡Seah街35
              63361042
        ","33人推荐
海南鸡饭
23人推荐
薏米水
6人推荐
时蔬
","四星商户"
"14","老成都川菜馆","中餐 ","8.1","7.6","8.2","132","93封点评","80 Pagoda Street, Singapore 059239, Singapore
              62226858
        ","20人推荐
沸腾鱼
15人推荐
馋嘴蛙
7人推荐
麻辣小龙虾
","四星商户"
"0","泰国村酒楼(室内体育场店)","东南亚菜 ","9","8.9","9.1","600","60封点评","397691,体育场路2室内体育场#01-02/03
              +65-64402292
        ","22人推荐
砂锅鱼翅
10人推荐
粉丝蟹煲
8人推荐
鱼翅捞饭
","五星商户"
"1","中峇鲁海南起骨鸡饭","中餐 ","8.3","7.7","8.7","30","81封点评","058961,新加坡史密斯街56
              63230191
        ","21人推荐
海南鸡饭
6人推荐
柠檬鸡饭
5人推荐
泰式凤爪
","准五星商户"
"2","同乐羲和(乌节中央城店)","中餐 ","9","8.9","9","559","43封点评","乌节路181号乌节中央城7号07/09
              +65-67360006
        ","14人推荐
爱尔兰烤鸭
4人推荐
咸蛋螃蟹
3人推荐
生汆笋壳
","五星商户"
"3","Lantern 酒吧","酒吧 ","9","9.2","8.7","231","45封点评","新加坡Collyer码头80号富勒顿湾酒店内
              +65-65975299
        ","1人推荐
特色鸡尾酒
","五星商户"
"4","探索新之味","小吃快餐 ","7.5","7.5","7.5","79","148封点评","新加坡圣淘沙岛新加坡环球影城失落的世界区
              +65-65778888
        ","10人推荐
炸鸡
8人推荐
叻沙
6人推荐
海南鸡饭
","四星商户"
"5","添好运(3西城广场)","茶餐厅 粤菜 ","8.3","8.5","8.9","131","66封点评","608532,新加坡Gateway Drive路3西城广场#01-13/14
              +65-66862000
        ","11人推荐
酥皮叉烧包
10人推荐
荷叶糯米鸡
7人推荐
鲜虾腐皮卷
","准五星商户"
"6","亚坤(财富中心店)","面包甜点 咖啡厅 ","7.9","7.9","8.6","29","118封点评","Fortune Centre 190 Middle Road #01-09
              
        ","31人推荐
法式咖椰土司
19人推荐
半熟蛋
18人推荐
奶茶
","准五星商户"
"7","Gudetama Café","咖啡厅 ","8.5","9","7.6","173","92封点评","#01-361 Suntec City Mall, 3, 3 Temasek Blvd, Singapore 038983
              
        ","9人推荐
布丁
6人推荐
牛排
4人推荐
沙拉
","准五星商户"
"8","吐司工坊(怡丰城L3店)","面包甜点 ","8.2","8.2","8.5","42","134封点评","1 Harbourfront Walk, #03-01 (Stall 22) VivoCity S
              
        ","21人推荐
花生酱厚吐司
17人推荐
黄金蛋吐司
15人推荐
奶茶
","准五星商户"
"9","Common Man Coffee Roasters","咖啡厅 ","9","9","8.9","237","60封点评","22 Martin Road | #01-00
              68364695
        ","8人推荐
松饼
7人推荐
flat white
4人推荐
english full breakfast
","五星商户"
