POI_INDEX,TOTAL_REVIEWS,ABOUT_SUMMARY,RANKING,TICKET_INFO,RATES,ADDRESS,PHONE,WEBSITE,TRANSPORTATION_MODE,OPENING_HOURS,ATTRIBUTES_CRAWLED_TIME
48,56,亚洲文明博物馆所在大楼建于1865年，曾先后作为法院、出生及登记处以及新加坡造币厂。1989年后这里成为了皇后坊博物馆，后并入亚洲文明博物馆在2003年重新开放。分为十个专题展区，以探索泛亚洲的文化，宗教和文明的传统方面，馆藏展品主要来自东南亚，中国，印度，斯里兰卡，甚至土耳其的文物。,50,外国居民和游客  20加坡元,8.4,1 Empress Place ，Singapore,+65-63327798,http://www.acm.org.sg,坐MRT到NE5 Clarke Quay，出站后向北过桥再向东走约15分钟。,周一13:00-19:00，周二至周四，周六至周日9:00-19:00，周五9:00-21:00。,2020-01-28 13:55:15.134671
49,61,高高耸立的纪念碑是为了纪念新加坡各族人民在二战中经的遭遇及牺牲，也是为了缅怀在日本占领新加坡期间死亡的人们。在政府大厦草场(Padang)的东面，你将会看到由四根大小和结构类似的石柱组成的纪念碑。纪念碑高达60多米，象征着新加坡的四大种族——马来人、华人、印度人和欧亚人所经历的共同苦难，以及那些死亡和埋葬在该处的人们。,51,免费,7.6,War Memorial Park Beach Road，Singapore,Not Available,Not Available,坐MRT到EW13/NS25 City Hall 出站后向东走5分钟即是。,全天,2020-01-28 13:55:45.948418
50,43,在新加坡科学馆可以了解到跟科学有关的众多内容，例如医学知识、太空、电、气候变化等等，即使是成年人来也会获得神奇科学的乐趣，学到新的知识。,52,成人12 新元；儿童8新元,8.7,15 Science Centre Road ,+006564252500,http://www.science.edu.sg,坐MRT到EW24/NS1 Jurong East站，出站后向西走约5分钟。,10:00–18:00。,2020-01-28 13:56:13.431217
51,49,新加坡历史最悠久的水库，在1868年完成的水库蓄水。当地人喜欢在这里进行体育活动，附近的学校划艇队还会利用这里广阔的水面训练。可以在这里沿水边徒步，林中植被茂盛，猴子蜥蜴等动物也随处可见，还有树冠漫步(Tree Top Walk)让你一览全景。徒步一圈大概需要3小时。,53,免费进入,8.7,"Lornie Road, Singapore 298693",006564685736,Not Available,公交巴士：52，74，93，157，165，852，855都可到达，MRT Circle Line Marymount站，出来后步行前往即可。,8:00-19:00,2020-01-28 13:56:37.701730
52,55,"乌敏岛在马来语中意为“花岗石岛”，是新加坡最后一座 “kampong”（村庄），可以在这里体验往昔的简朴生活。踏上乌敏岛，恍若穿行了时光隧道，回到了上个世纪六十年代，一切都是那么地简单淳朴，古香古色的木屋随处可见。可以从樟宜码头的渡轮码头乘船前往此处，而登岛后最好的游览方式是租一辆自行车环游。
",54,免费,8.2,"Pulau Ubin,Singapore 000701",006565424108,https://www.nparks.gov.sg/cms/index.php?option=com_visitorsguide,渡船单程3新加坡元，运营时间6:00-20:00。一般都是等凑齐12人即可出发。,每天8:30-17:00,2020-01-28 13:56:58.218694
53,35,"沿着吊桥前行，海滩游客可到达亚洲大陆最南端（也是亚洲离赤道最近的地方），巴拉湾海滩是新加坡最快乐的家庭海滩，拥有成人和儿童最爱的有趣商店和餐馆。
",55,None,8.3,"Sentosa Island, Singapore",Not Available,http://www.sentosa.com.sg/cn/beaches/palawan-beach/,圣淘沙巴士1号、圣淘沙巴士2号、圣淘沙巴士3号、巴拉湾-丹戎海滩火车、圣淘沙捷运：海滩捷运站。,Not Available,2020-01-28 13:57:24.923051
54,45,"是东南亚的第一所集邮馆，经由一座具有88年历史的两层楼维多利亚式古屋装修而成。博物馆大门前竖立着一座殖民时代遗留下来的红色邮筒，非常有历史感，目前是新加坡集邮馆的标志。除了展示各种珍贵邮票，这里也给集邮爱好者提供的各种集邮服务，如出售新加坡发行的首日封和各国邮票。此外，这里也设有邮箱，在这里寄张明信片给朋友是不是特别有福！
",56,成人8新币，儿童(3-12岁)和老人6新币。,8.2,23B Coleman St，Singapore 179807,+65 6337 3888,http://www.spm.org.sg,"坐MRT到NS25/EW13 City Hall, NE5 Clarke Quay或者CC2 Bras Basah站后步行5分钟就到。",周一13:00-19:00; 周二至周日 09:00-19:00,2020-01-28 13:57:51.901958
55,6,Not Available,57,None,9.0,滨海湾金沙,Not Available,Not Available,从滨海湾金沙酒店步行1分钟到达，从滨海艺术中心步行10 分钟到达,24小时,2020-01-28 13:58:19.667456
56,9,新加坡是一个很适合带着小孩子全家来玩的地方。这里不仅有新加坡环球影城，还有深受孩子们喜欢的动物园、海豚公园。还可以带着孩子一起参观新加坡国家博物馆，寓教于乐增长知识，一起感受了解有着“亚洲四小龙”之称的新加坡魅力。,58,None,9.8,Not Available,Not Available,Not Available,Not Available,Not Available,2020-01-28 13:58:28.169647
57,62,"新加坡是世界上仅有的保留有大片原始热带雨林的两个城市之一，这样的美名就来自于武吉知马保护区。保护区离新加坡市中心仅12公里远，占地400亩，拥有 500 余种动物以及 840 余种开花植物。保护区的中心是海拔164.3米的武吉知马山，也是新加坡的至高点，登高可俯瞰狮城。上山小路蜿蜒穿过丛林，沿途可看到各种珍奇动物、花卉和树种，是在新加坡感受雨林魅力的理想去处。
",59,免费参观,8.1,177 Hindhede Drive Singapore 589333,1800-471-7300,http://www.nparks.gov.sg,最近的地铁站是NS2 Bukit Batok，但是下车后还要搭乘公交，65/75/170/171/184都可以到达。,每天11:00-19:00,2020-01-28 13:58:38.692520
58,34,海豚乐园是新加坡海底世界的主要景点之一，园区的建设特别模拟海豚的自然生长环境。在这里，你可以和珍贵可爱的粉红海豚尽情嬉戏，每天还有4场名为与海豚约会的表演供游客欣赏。去感受海豚的各种萌吧！天气不好的时候，海豚表演会被取消。,60,海豚乐园包括在海底世界门票内。,8.3,Underwater World， Sentosa，Singapore,Not Available,http://www.underwaterworld.com.sg/abtus_dolphin.htm,到达圣淘沙岛之后从海滩终点站(Beach Station)坐蓝线巴士前往海底世界。,10:00 - 19:00，最晚18:30入场。,2020-01-28 13:59:07.374175
59,25,"高约20米的阵亡纪念碑坐落于滨海艺术中心附近，面对旧国会大厦，是为纪念在一战中死去的 124 名新加坡人所建。而二战（1939-1945）死难者的纪念辞则随后刻于其背面，那是一句用四种语言（英语、马来语、中文、泰米尔语）刻着的话：“他们的牺牲成全了我们的幸存。”
",61,免费,7.6,Cenotaph Singapore,Not Available,Not Available,坐MRT到EW13/NS25 City Hall 出站向东南方向走约5分钟。,Not Available,2020-01-28 13:59:32.514187
60,20,位于新加坡国立大学肯特岗校区，是一座看起来很气派的建筑。作为新加坡国立大学的艺术博物馆，通过对范围广泛的艺术作品的战略性收购、展出和研究，推动国立大学学生、国民以及亚洲社会的历史与艺术传承。对于校外的参观者来说，这里是了解东南亚艺术的好去处。,62,免费。,7.9,50 Kent Ridge Crescent，Singapore,+65-65168817,http://www.nus.edu.sg/cfa/museum/index.php,最近的地铁站为EW22 Dover，出站后向南走约10分钟。,周一休息，周二至周日10:00-18:00。,2020-01-28 13:59:54.385864
61,18,Not Available,63,None,7.4,新加坡石龙岗路(近跑马埔路),+65-62955998,Not Available,地铁 小印度站(Little India),全天,2020-01-28 14:00:10.401451
62,63,"这座设在殖民时期风格的建筑里的红点设计博物馆，是世界上第二家红点博物馆，推崇最为前沿和尖端独特的设计，经常会有一些奖项评选或者设计师交流活动在此举行，而日常的展出则会是能够给你眼前一亮的创意点子。
",64,成人8新加坡元，学生、儿童、年长者4新加坡元。,7.7,"11 Marina Blvd, Singapore 018940",+65 6514 0111,http://museum.red-dot.sg/,坐MRT到EW15 Tanjong Pagar，出站后向北走约5分钟即可。,周一、周二和周五11:00-18:00，周六、周日11:00-20:00。逢周三、周四闭馆。,2020-01-28 14:00:27.140002
63,1,Not Available,65,None,10.0,"39 Artillery Avenue, Sentosa  Singapore 099958",+65-65778888,Not Available,Not Available,Not Available,2020-01-28 14:00:50.015434
64,20,新加坡国家美术馆位于圣安德烈路，历经了十年筹备，总面积达到6.4万平方米，设有新加坡厅和东南亚厅两个永久展厅，馆藏藏品数量超过1万件。主题建筑由法国米卢建筑设计工作室设计，耗资5.3亿美元，被誉为新加坡及东南亚地区最大的视觉艺术中心。此外，美术馆还将设立吴冠中展厅及特别展厅，用于举办与国际顶级美术馆、博物馆合作的艺术展等项目。,66,None,9.1,"1 St Andrew's Rd, Singapore 178957",+65 6271 7000,http://www.nationalgallery.sg,Not Available,Not Available,2020-01-28 14:00:58.998774
65,35,维拉玛卡里雅曼兴都庙(Sri Veeramakaliamma Temple)坐落于小印度实笼岗路，由泰米尔劳工于1855 年建成，这座庙是为祭祀象征力量的凶恶的印度教女神—卡里而建的，她黑暗的形象—往往有许多双手，每双手握着武器，被描绘在礼拜大殿(mandapam)的墙壁上。,67,免费。,7.9,141 Serangoon Rd，Singapore,+65-62934634,http://www.sriveeramakaliamman.com,坐MRT到NE7 Little India。,"每天6:00-12:00, 17:00-21:00。",2020-01-28 14:01:21.524602
66,15,这里是自然公园，有很多种类的植被可以观看，环境宜人,68,None,9.3,"Gardens by the Bay|18 Marina Gardens Drive,Singapore018953,Singapore",+65 6420 6848,Not Available,Not Available,9:00 - 21:00,2020-01-28 14:01:51.115090
67,36,每年9月在新加坡滨海湾举行的F1新加坡站，是F1®夜间大奖赛活动发源地，也是亚洲唯一的F1街道赛事。为了保证在欧洲地区的收视率，F1接纳新加坡大奖赛的时候就已经把这里定位为一场夜间赛事。这场赛事将在历史悠久的大厦、标志性的现代建筑和令人惊叹的美丽天际线下澎湃启动，实在是一举多得的活动。今年表演嘉宾包括凯莉米洛（Kylie Minogue）、皇后合唱团加上亚当兰柏特（Queen + Adam Lambert）、巴士底乐团（Bastille）、五声音阶(Pentatonix)、KC and The Sunshine Band、Imagine Dragons 和Halsey 等知名乐手，炒热现场气氛。,2,https://tickets.singaporegp.sg/tickets/cn/listing/all/ ,8.4,"1 Republic Blvd, 新加坡 038975",Not Available,http://www.singaporegp.sg,地铁绿线、红线，政府大厦站(City Hall) 、莱佛士坊站 （Raffles Place)；地铁黄线，滨海艺术中心站(Esplanade)、宝门廊站(Promenade) 、海湾舫地铁 (Bayfront) 、尼诰大道站 (Nicoll Highway),Not Available,2020-01-28 14:02:03.410294
68,25,"南部山脊(The Southern Ridges)将花柏山公园(Mount Faber Park)、直落布兰雅山公园(Telok Blangah Hill Park)、肯特岗公园(Kent Ridge Park ) 的小丘陵连为一体，是一个具有历史价值的区域，也孕育了自然界最珍贵的一些动植物。可将新加坡的壮美风景尽收眼底。南部山脊全长 9 公里，沿途青葱的环境、开阔的空间让这里成为了徒步与单车骑游的理想场所。
",69,免费。,8.9,Mount Faber Park，Telok Blangah Hill Park or Kent Ridge Park，Singapore,+65-18004717300,http://www.nparks.gov.sg,坐MRT到CC25，然后换乘公交200路经过四站，到达B16019；坐MRT到CC29/NE1，再换乘Sentosa Express到Imbiah站，到站之后向西走。,全天。,2020-01-28 14:02:27.009845
69,9,新加坡植物园中的一大亮点是国家兰花园 National Orchid Garden，这里的兰花有1000多个品种，混合品种达到2000多个。来国家兰花园，将会享受到一场视觉的盛宴。国家兰花园位于新加坡植物园西侧，里面种植着大量的兰花稀有品种，包括有新加坡国花之称的“卓锦万代兰”。兰花园面积大约有3万平方米，有着很美的乡间风景。,70,None,9.3,1 Cluny Road Singapore 259569 (新加坡植物园内中西侧),Not Available,Not Available,乘地铁黄线，在植物园(Botanic Garden)站下车,08:30-19:00；最后入场：18:00,2020-01-28 14:02:49.831027
70,19,"水上探险乐园 (Adventure Cove Waterpark™) 适合所有的游客游玩，带来趣味盎然的无穷乐趣。 您可尝试各种刺激的水滑道，领略滑下东南亚首架水磁过山车的激情与乐趣。 您可选择与朋友一起到冲浪湾玩耍，或者抱住泳圈沿探险之河 (Adventure River) 顺流而下，依次经过热带雨林公园与奇异海洋生物栖息的洞穴等14个主题区。 前往珊瑚礁附近浮潜也是不错的选择，与 20,000 条温和的鱼类为伴，或者涉水走过鳐鱼聚居地，感受鳐鱼翅的柔软触觉。 新加坡水上探险乐园 (Adventure Cove Waterpark™) 让您在阳光下体验疯狂刺激的一天。",71,成人 38 新元,8.7,8 Sentosa Gateway，Resorts World Sentosa，新加坡 098269,+65 6577 8888,http://www.rwsentosa.com.cn/Tour-AdventureCoveWaterpark,Not Available,每天 10:00–18:00,2020-01-28 14:02:58.291523
71,15,新开张的乌节图书馆楼高两层，是首个收藏，设计与应用艺术书籍的公共图书馆。在这里，公众可以浏览超过4万5000本与设计相关的书籍，也可以参与社区讲座。,72,免费。,8.7,277 Orchard Road，#03-12/#04-11 Orchard Gateway，Singapore,+65-63323255,http://www.nlb.gov.sg/VisitUs/BranchDetails/tabid/140/bid/337/Default.aspx?branch=library%40orchard,红线索美赛站，步行5分钟即可。,周一到周日11:00-21:00，公共假日关闭。圣诞节、新年、春节前一天17:00关闭。,2020-01-28 14:03:13.952989
72,28,佛教“南山上人”在1884年在此地弘扬佛法。清朝光绪十年(1885年)农历五月由陈两成商号捐献土地建庙；并在1893年岁桐月(农历三月)重修。,73,None,8.4,178 Waterloo Street  Singapore 187964,Not Available,Not Available,坐MRT到EW12 Bugis站从C口出，步行约10分钟可到。,6:00-18:15，每逢农历初一及十五日，5:00-18:45,2020-01-28 14:03:28.886171
73,32,天福宫坐落于新加坡中央商业区，始建于1821年，目前已有近两百年的历史，是新加坡最古老的寺庙之一。天福宫供奉的是护航之神“天后娘娘”(即妈祖)，最早由感谢妈祖保佑的海员修建而成，所以也叫妈祖宫。,74,免费。,8.1,158 Telok Ayer St，Singapore,+65-64234616,http://www.thianhockkeng.com.sg,坐MRT到EW14/NS26 Raffles City出站向东南方向走。,07:30-17:30。,2020-01-28 14:03:49.081299
74,24,南部山脊最精彩的风景之一，波浪造型的桥体荣获新加坡建设局颁发的“优秀设计与安全工程奖”。,75,免费。,8.3,Not Available,Not Available,Not Available,Not Available,Not Available,2020-01-28 14:04:13.505068
75,26,是新加坡最古老的寺庙之一，由早期印度来新务工的人们所建，是典型的印度教寺庙。这里供奉着主神—卡里的图像。卡里女神是主司杀戮与破坏的邪恶之神，但是在早期印度移民心中，她带来异乡的安全感。目前是新加坡旅游重要的一站。,76,免费,7.7,397 Serangoon Rd,006562985771,Not Available,坐MRT到NE8 Farrer Park，出站后向被北走约10分钟即可找到。,8:00-19:00,2020-01-28 14:04:36.223638
76,32,和新加坡繁华的中心商业区一箭之隔的安详山一带满是百年老店，其古色古香的韵味和周围耸立的摩天高楼形成了有趣的对比。独立经营的零售店，时髦的酒吧和包罗各地美食的餐馆，交相辉映出的活力使这一地带成为近些年来最受学生、雅皮士和海外旅居人士青睐的高尚聚会区。购物者们可以尽情浏览精品店中售卖的时装和家具，然后挑家咖啡店或食肆歇脚喝茶品糕点。安详山是快节奏都市生活中为您舒缓压力的好地方。,77,None,7.6,Ann Siang Road，Singapore,Not Available,Not Available,近紫线牛车水地铁站。,全天,2020-01-28 14:04:58.168282
77,24,新加坡第一个也是唯一的受保护的沼泽自然公园。保护区面积87公顷，自然保护区里栖居着超过500种热带动植物，是候鸟途经东亚的主要中途停留站。,78,周一至周五免费,8.6,301 Neo Tiew Crescent Singapore 718925,006567941401,http://www.sbwr.org.sg,坐MRT到NS7 Kranji站，之后换乘925C到Sg Buloh Wetland Reserve站，下车即是。,周一-周六： 7:30-19:00,2020-01-28 14:05:24.872007
78,29,观音堂佛祖庙（Kwan Im Thong Hood Cho Temple）位于新加坡小坡四马路（Waterloo Road），门牌178号。佛教“南山上人”在1884年在此地弘扬佛法。清朝光绪十年（1885年）蒲月（农历五月）由陈两成商号捐献土地建庙；并在1893年岁桐月（农历三月）重修。几十年来白沙浮地区 (Bugis area) 已经逐渐丧失了鲜明的个性，但观音庙仍然色彩绚丽，活力十足。这座观音庙在中国的除夕尤其忙碌，整晚开放。在入口和大金佛周围挤满了人，有卖花的、算命的，还有上香的信徒。不妨去这个香火鼎盛的观音庙烧个香，祈求安康。,79,None,8.1,"62 Tembeling Road, Singapore 423586",006563480967,http://www.kuanimtng.org.sg/default.aspx?type=c,"坐MRT到Paya Lebar站(EW Line或者Circle Line)，出站后坐30,28或2路公交车到Blk 414，然后步行前往。",8;00-19:00,2020-01-28 14:05:47.984792
79,54,建于1826年，是牛车水最早的清真寺之一，也是印度南部泰米尔回教徒在牛车水最早建造的三座回教堂之一。以奇特的建筑风格闻名，正面好似精细复杂的宫殿，上面开有小门和十字形的窗户。入口是典型的南印度风格，而两个祈祷大厅以及神殿却是新古典风格。所以尽管这里是有新月标志的清真寺，却是和中国的清真寺建筑风格有很大差别。,80,免费,7.1,218 South Bridge Road，Singapore 058767,+65-6221-4165,Not Available,地铁紫线、蓝线，牛车水(Chinatown),8:00-18:00,2020-01-28 14:06:12.956563
80,5,Not Available,81,None,8.0,3 New Bugis St,Not Available,Not Available,地铁绿线 EW12 Bugis站,11:00-22:00,2020-01-28 14:06:37.315965
81,19,"裕华园(Chinese Garden) 有着浓浓的中国古代韵味。由著名的台湾建筑师Yuen-Chen Yu 教授所设计，仿效了中国北方的宫廷建筑风格与景观设计。
",82,免费,7.6,1 Chinese Garden，Singapore,+65-62613632,Not Available,可以乘坐MRT到EW25 Chinese Garden。,每天5:30-23:00。,2020-01-28 14:06:44.967339
82,24,在这家博物馆，你可以探寻新加坡作为曾经的殖民地所蕴含的丰富、多元的历史、传统和文化，了解新加坡、马六甲以及槟城的海峡先民与东南亚其他地区的密切往来以及生活面貌。博物馆收藏了诸多土生华人的珍贵文物，这里还有针对小朋友们的互动性展品，可以和家人一起学习。两间临时展厅全年也办展览。,83,13新加坡元。周五10:00-21:00半价。,8.0,39 Armenian Street，Singapore,+65-63327591,http://www.peranakanmuseum.sg,"搭乘地铁到克拉码头(紫线)E出口或市政厅(绿线)B出口, 或者从新加坡集邮馆步行2分钟即可。",周五10:00-21:00，其余时间10:00-19:00。,2020-01-28 14:06:58.460399
83,3,Not Available,84,None,8.7,圣安德鲁路11号,+65-63376104,Not Available,乘坐地铁EW，NS线 City Hall站下车,周一~周六9:00-17:00；周三9:45-17:00；周天9:00-13:30,2020-01-28 14:07:21.570385
84,4,"芽笼，叫Geylang，有40条巷，主干道是Geylang Rd, 单数巷、双数巷分别在道路两旁，单数巷是美食闻名，各种口味菜式都有，双数巷就是红灯区，站街金鱼缸都有，其中第八巷叫super 8。",85,None,8.5,新加坡芽笼路,Not Available,Not Available,地铁Paya Lebar站,Not Available,2020-01-28 14:07:27.279956
85,24,于1835 年建于禧街(Hill Street)的亚美尼亚教堂是新加坡最为古老的教堂，这是一座维多利亚式白色建筑，由居住在新加坡的12个亚美尼亚族家族集资兴建的，表达了对于新加坡曾经兴盛一时的亚美尼亚家族的敬意，教堂外的空地则是亚美尼亚人的墓碑群，草坪中间表现“耶稣背着十字架在苦路上跌倒14次场景”的一组雕塑，,86,免费。,8.0,60 Hill St ，Singapore,+65-63340141,http://armeniansinasia.org,坐MRT到EW13/NS25 City Hall 出站后向西走一个路口再向南走约100米即是。,24小时开放。,2020-01-28 14:07:34.516159
86,6,Heatherwick Studio设计，他们也是上海世博会英国馆的设计者，整个建筑的感觉也和英国馆一样，第一眼看到时感觉太出挑故意吸引人眼球，深入了解时又会发现其中有趣的地方从而喜欢上这个设计，唯一的缺点是空间感觉有些过于浪费，不过对于新加坡这种没有什么极端天气的国家来说，这种空间其实也算不上浪费,87,None,9.3,"South Spine, 新加坡",Not Available,Not Available,Not Available,Not Available,2020-01-28 14:07:53.586488
87,23,"这是新加坡唯一一座保存完好的二战沿海要塞，该炮台是英国殖民者为了包围西边海港门户于19世纪80年代建造的，这里有大量二战时期的纪念物品，有17世纪原版火炮、真人大小的复制品和互动展品等。
",88,成人票价12新元，儿童票价5新元(正常上岛费另计)。,7.4,Siloso Rd，Singapore 099981,+65-62750388,http://www.fortsiloso.com/,坐MRT到CC29/NE1 Harbour Front 出站后再找到前往圣淘沙岛的船或者公交。,10:00-18:00，最后参观时间为17:30。,2020-01-28 14:08:00.797546
88,24,“河的子民”是新加坡河畔的一系列形态各异的雕塑群。每一组雕塑群都展示了新加坡早期居民简单纯朴的生活方式。有“古晋塔猫”“第一代”“河畔商人”“河的子民”等雕塑组，细心去发现吧。比如“第一代”雕塑是，五名裸体的男孩正兴奋地从桥上准备跃入水中，将如今新加坡再也难觅的一景永恒地定格于此。,89,免费。,7.2,Not Available,Not Available,Not Available,坐MRT到NE5  Clarke Quay 站下车向西走。位于克拉克码头附近的新加坡河岸旁。,全天。,2020-01-28 14:08:27.770128
89,19,占地面积约13.5公顷，位于裕廊湖附近，是新加坡居民悠闲纳凉的好去处，花园分为中国园与日本园，都极具两国民族特色。,90,None,7.7,1 Chinese Garden Rd,006562613632,Not Available,坐MRT到EW25 Chinese Garden站。,周一至周五 6:00-22:00,2020-01-28 14:08:50.335406
90,12,Not Available,91,None,7.8,8 Marina Gardens Dr，Singapore,Not Available,Not Available,Not Available,24 小时开放。,2020-01-28 14:09:03.649487
91,20,这条街区是早年新加坡的土生华人社区，临近乌节路。这里的道路两旁都是一些很典型的中国式巴洛克建筑，除了住宅，也有几家古着系的小店，喜欢Vintage风格的朋友可以前去散步、淘货。,92,None,8.6,Orchard Road,Not Available,Not Available,可以坐MRT到NE 23  Somerset 出站后向东北方向走约10分钟。,Not Available,2020-01-28 14:09:17.286086
92,1,Not Available,93,None,10.0,45 Maxwell Road Singapore 069118,+65-63218321,Not Available,Not Available,星期一到星期六?上午9点到下午5点,2020-01-28 14:09:29.339909
93,2,也是名声很大的地方，CPG Consultants 设计，沿着草坡走上去之后居然是尽端路内部空间秩序不明所以容易迷路。,94,None,9.0,Not Available,Not Available,Not Available,Not Available,Not Available,2020-01-28 14:09:37.536127
94,12,"丹戎海滩因其宁静与隐秘而受到游客们的喜爱。
",95,None,7.5,"Tanjong Beach, 新加坡",Not Available,http://www.sentosa.com.sg/cn/beaches/tanjong-beach/,巴拉湾-丹戎海滩火车、圣淘沙巴士3号。,Not Available,2020-01-28 14:09:43.418528
95,22,"由苏丹阿里（Sultan Ali）下令于1842年建造的黄色建筑，有很大的庭院，Istana在马来语里是皇宫的意思，因此Istana Kampong Gelam也就是甘榜格南皇宫的意思。这栋建筑的前身是Sultan Ali的父亲Sultan Hussein Shah于1819年建的，Sultan Ali的儿子死后，由于苏丹继承权陷入争端，这座皇宫于1897年被收归国有，并在2005年转变成为马来文化中心。通过一系列文物、多媒体展示，展现了马来苏丹统治时期新加坡的历史风貌,使得参观者可以一瞥马来文化昔日的辉煌，以及当年武吉士(Bugis)商人的多彩生活。",96,成人票4新加坡元，老年票(60 岁及以上)/学生票2新加坡元，6 岁及以下儿童免费，成人团体票（20人及以上）8折，家庭票（最多5位成员）12新加坡元。,7.6,85 Sultan Gate，Singapore 198501,+65 6391 0450,http://www.malayheritage.org.sg,搭乘地铁：在EW12 Bugis 出站向北步行约10分钟。,Malay Heritage Centre Museum:周一闭馆，周二至周日10:00-18:00(最后入馆17:30 ),2020-01-28 14:09:59.888736
96,20,这里有多达10个景点和游览点，可以去新加坡万象馆(Images of Singapore)了解新加坡的文化历史，或者坐在山顶的咖啡馆里俯瞰新加坡的海港。,97,免费。,7.2,42 Imbiah Rd Sentosa Island Singapore 099701,Not Available,Not Available,乘坐圣淘沙捷运，在英比奥(Imbiah)下车，按指示标识步行10分钟即可。,全天开放。,2020-01-28 14:10:21.978226
97,20,位于新加坡西南部，沿有三个池塘，林荫羊肠小径贯通各处，这里严禁踏车，只能步行，这里有健身园、七个特式凉亭及两个停车场，其中一个停车场是第二次世界大战日本军队与英国军队间巴西班让战役发生地。,98,None,7.5,Vigilante Dr,Not Available,Not Available,坐MRT 到CC24 Kent Ridge，出站后向东南方向走约20分钟可到。,Not Available,2020-01-28 14:10:38.088028
98,17,这座博物馆就座落于中央消防局内，展示了从19世纪开始的消防与民防的发展史，可以在互动展台可以体验真实的消防情景，或是到博物馆的公共宣传角学习到一下怎样应对火灾、民防等紧急情况。,99,免费,7.5,Central Fire Station Civil Defence Heritage Gallery at the top 62 Hill St Singapore 179367,(65) 63322996,http://www.scdf.gov.sg/content/ scdf_internet/en/general/about-us/cd-heritage-gallery.html,坐MRT到EW13/NS25 City Hall 出站后向西南方向走约10分钟。,Guided Gallery Tour：周二至周日10:00-17:00，Tower Tour：19:00-20:00。,2020-01-28 14:10:54.731754
99,7,Skyline Sentosa Luge是新加坡一处全年龄户外游乐设施。,100,None,9.7,45 Siloso Beach Walk Sentosa Resorts World Sentosa 新加坡 099003,Not Available,http://www.skylineluge.com/luge-singapore/skyline-luge-sentosa/,Not Available,每天10:00-21:30，全年无休,2020-01-28 14:11:08.171023
100,2,"旧禧街警察局（Old Hill Street Police Station）建于 1934 年，内设禧街警察局和营房。在其 1934 年完工之际，它便成为了最大的政府建筑，亦被视为现代摩天大楼。1998 年，它被报刊媒体评为国家纪念碑，而后新闻、通讯及艺术部（Ministry of Information, Communications and the Arts）迁来此地。 2000 年，这项建筑成为新闻、通讯及艺术部的办公大厦，并于 2012 年更名为旧禧街警察局，其后 MICA 变为通讯新闻部。旧禧街警察局还设有文化、社区及青年部（Ministry of Culture, Community and Youth）。
",101,None,9.0,"179369,新加坡希尔街140",+65 1800 837 9655,Not Available,克拉码头地铁站 (Clarke Quay),10:00 - 17:00,2020-01-28 14:11:14.315206
101,11,建于1910年的阿都卡夫回教堂 (Masjid Abdul Gafoor) 位于新加坡的一片老商业中心区域。,102,参观免费，但是请注意着装。,8.2,41 Dunlop St Singapore 209369,+65 6295 4209,Not Available,坐MRT到NE7 Little India ，出站后向东走,8:00-19:00,2020-01-28 14:11:23.216731
102,11,新加坡特丽爱3D美术馆是东南亚首间3D美术馆！众多原创立体绘画作品设置了“障眼法”，相信爱拍照的朋友一定乐意来到这个错觉世界，运用想象力摆出各种奇特的姿势，创造出一个属于自己的独特故事。美术馆分成六个主题馆：包括名画世界、游猎王国、马戏团之星、童话梦国、冬季恋歌和探险奇程。,103,成人25新加坡元，儿童(4-12岁)20新加坡元，60岁以上的老人20新加坡元。特丽爱3D美术馆和海洋馆套票：成人48新加坡元，儿童36新加坡元。,8.2,8 Sentosa Gateway，Singapore,Not Available,http://trickeye.com/singapore/,近环球影城和海洋馆,10:00–21:00。,2020-01-28 14:11:38.736863
103,5,Not Available,104,None,8.0,新加坡圣淘沙巴拉湾海滩对面的巴拉湾岛上(Palawan Beach),18007368672,Not Available,Not Available,24 hours daily,2020-01-28 14:11:54.024185
104,12,"在拉柏多自然保护区 (Labrador Nature Reserve)，探寻崖壁间的葳蕤植物，纵览海天一色的壮丽美景，这里可以看到50多种鸟类，而在途中很有可能碰到跃乎树间的可爱松鼠，耳边则是清脆的鸟鸣，这里有着宁静平和与隐逸于世的轻松与自然。
",105,隧道导览成人票 8 新元,8.2,Labrador Villa Rd Labrador Park,Not Available,http://www.nparks.gov.sg,坐MRT到CC27  Labrador Park 出站向南走三分钟即是。,每天10:00-19:00，18:00之后不再提供导游服务。,2020-01-28 14:12:02.440026
105,2,Not Available,106,None,9.0,"Holland Village, Singapore",Not Available,Not Available,Not Available,全天开放,2020-01-28 14:12:17.258373
106,2,新加坡除了去热门景点，更加应该走进新加坡人的生活。而这里是新加坡第一个组屋区，80%新加坡人都住在组屋，是个十分生活化的地方。在大巴窑中心（Toa Payoh Center），有个商场也有新加坡最大的空调室内巴士站，附近有大巴窑体育场，走去六巷有小贩中心金桔坊。,107,免费,10.0,"Toa Payoh, 新加坡",Not Available,Not Available,地铁（MRT）：红线NS19,全天,2020-01-28 14:12:24.240006
