,name,coordinates
560,Tampines Eco Green,"1.364591, 103.947752"
561,Sri Manmatha Karuneshvarar Temple,"1.308860,103.865891"
562,Hougang Swimming Complex,"1.370062, 103.886983"
563,Changi Murals,"1.316950,103.901527"
564,Cheong Ann Watch Maker,"1.353770, 103.877425"
565,The Canyon,"1.282080,103.865646"
566,Shaw Tower,"1.296500,103.856697"
567,Singapore Momentum Sculpture,"1.282458, 103.851869"
568,Coleman Bridge,"1.289860,103.849136"
569,Gajah Gallery,"1.271858,103.836678"
570,Maplewood Park,"1.352520, 103.884857"
571,Jubilee Walk,"1.285801,103.851112"
572,Old Bukit Timah Railway Station,"1.334290, 103.781142"
573,PetalClouds,"1.285801,103.851112"
574,Victoria Lily Pond,"1.282170,103.865196"
575,Masjid Hussain Sulaiman,"1.291350,103.771278"
576,Prinsep Street Presbyterian Church,"1.301830,103.851021"
577,Polar Bear Gallery,"1.301371,103.858559"
578,Serene Centre,"1.322570,103.813713"
579,Pang Sua Pond,"1.381890, 103.765474"
580,Masjid Hajjah Rahimabi Kebun Limau,"1.326162, 103.854828"
581,Night life in krabi,"1.285801,103.851112"
582,Mesjid Temenggong Daeng Ibrahim,"1.266320,103.824249"
583,REV Fight Club Gym,"1.287660,103.847557"
584,Virvana Memorial Garden,"1.374530,103.692543"
585,Jinji Tennis Singapore,"1.310160,103.826187"
586,Orchard Fashion Runway,"1.301465,103.838501"
587,Ang Chee Sia Ong Temple,"1.311580,103.760429"
588,YANG Gallery,"1.305811, 103.829424"
589,Old Admiralty House,"1.448140,103.825172"
590,The Art Connector,"1.292610,103.848579"
591,Lalin Gallery,"1.294900,103.854149"
592,Sun Pavilion,"1.282080,103.865646"
593,Aero-green Technology,"1.445412, 103.730547"
594,Visual Art Trails - Civic District,"1.285801,103.851112"
595,Ramakrishna Mission temple,"1.343880,103.879372"
596,Kong Chow Cultural Centre,"1.280950,103.841049"
597,Peranakan Trail,"1.314100,103.899132"
598,Thomson Plaza,"1.354690,103.830978"
599,Youth Olympic Park,"1.289210,103.859062"
600,Kang Ha Pheng Sim Kok,"1.314030,103.879242"
601,Open Doors,"1.300760,103.839691"
602,Fo Shan Ting Da Bo Gong Temple,"1.403112, 103.970034"
603,BorderX,"1.300760,103.839691"
604,Steel in Bloom,"1.338474,103.983704"
605,Swiftlet Garden Museum,"1.419562, 103.718982"
606,Sri Krishna Mandir,"1.314660, 103.885645"
607,NTU Centre for Contemporary Art,"1.274488, 103.804172"
608,Duxton Plain Park,"1.282750,103.842720"
609,Former Combined Operations Room Exhibition,"1.283670,103.841682"
610,The Gallery of Gnani Arts,"1.306200,103.826622"
611,Fire Flies Health Farm,"1.428930,103.714180"
612,Sheng Jia Temple,"1.392540,103.915710"
613,Alkaff Upper Serangoon Mosque,"1.332940,103.870598"
614,Struggle Against Communist Party of Malaya Marker,"1.290340,103.853622"
615,Journey East,"1.287530,103.833977"
616,Singapore Dance Theatre,"1.299834, 103.854153"
617,321 Clementi,"1.311963, 103.765017"
618,Redsea Gallery,"1.303543, 103.809979"
620,Katong Park,"1.302454,103.875008"
621,Church of St Ignatius,"1.317839, 103.805561"
622,Asian Art Platform,"1.295295, 103.841639"
623,Zhun Ti Gong,"1.279599, 103.841406"
624,Jeric Salon,"1.304080,103.831810"
625,Library@Harbourfront,"1.264310,103.822067"
626,Heritage Zone,"1.285801,103.851112"
627,Amazing Castle,"1.301520,103.836372"
628,Art Retreat,"1.326150,103.895599"
629,Darussalam Mosque,"1.312443, 103.771036"
630,Safra Club's Swimming Pool,"1.339900,103.943878"
631,Tourist and Transit Hub,"1.289527, 103.863341"
632,The Pamela Hat sculpture,"1.316010,103.845398"
633,Ngee Ann Cultural Centre,"1.295350,103.843399"
634,Telok Kurau Studios,"1.314116, 103.910436"
635,Alexandra Technopark,"1.277810,103.800621"
636,Joseph Conrad Korzeniowski 顕彰碑,"1.285801,103.851112"
637,Lifesystems Chiropractic Pte Ltd,"1.291660,103.813927"
638,Tokyo Gallery By Musee Collection,"1.293127,103.851387"
639,Fort Canning Sculpture Trail,"1.296060,103.845459"
640,Water Lily Garden,"1.362527,103.989708"
641,Laichun Yuen Theatre,"1.282110,103.843300"
642,Dong Yue Miao,"1.273980,103.827820"
643,Theatreworks,"1.291345, 103.840126"
644,Yong Siew Toh Conservatory of Music,"1.302260,103.772911"
645,Miaja Gallery,"1.311770,103.842262"
646,Memorial to the Victims of Konfrontasi,"1.285801,103.851112"
647,Masjid Darul Ghufran,"1.355338, 103.939940"
648,Time Capsule,"1.316300,103.942757"
649,ArtSpace Museum,"1.276270,103.864883"
650,Lotto Carpets Gallery,"1.305840,103.811348"
651,Objectifs - Centre for Photography & Film,"1.299791, 103.852038"
652,Kim Yan Agroteck Farm,"1.439180,103.726891"
653,Tou Mu Kung Temple,"1.355260,103.878792"
654,Mural : Tiong Bahru Pasar,"1.283807, 103.832216"
655,The Arena,"1.342471,103.867470"
656,The Music Salon,"1.303562, 103.849548"
657,Anglers World Family Fun Park,"1.386650,103.880623"
658,Bukit Batok Memorial,"1.285801,103.851112"
659,Chillax Market,"1.337690,103.793610"
660,The Theatre Practice,"1.298678, 103.851025"
661,Design Orchard,"1.302850,103.834648"
662,100 AM,"1.274530,103.843399"
663,A Million Times at Changi,"1.285801,103.851112"
664,Playkeroo,"1.275270,103.843498"
665,Bidadari Memorial Garden,"1.339436,103.877396"
666,Smart Craft,"1.353480,103.878799"
667,Pop And Contemporary Fine Art,"1.306037,103.830887"
668,Singapore Chinese Opera Museum,"1.302970,103.861862"
669,Church of St. Stephen,"1.325748,103.883087"
670,Asia Ancient Gallery,"1.306200,103.826622"
671,Sino Trading and Frame Works,"1.313540,103.765450"
672,Bukit Batok Swimming Complex,"1.344530,103.748398"
673,Tools of Old Singapore,"1.304690,103.853470"
674,Mun Sun Fook Tuck Chee,"1.318346, 103.878016"
675,Kuan Im Tng Temple,"1.325650,103.846222"
676,BlinkyB Art Gallery,"1.434620,103.802620"
677,W!ld Rice,"1.306760,103.851570"
678,Qi Tian Gong Temple,"1.283792, 103.834304"
679,Alkaff Bridge,"1.285190,103.846909"
680,Vista Point,"1.430865,103.793915"
681,Rivervale Mall,"1.392480,103.904510"
682,Toa Payoh Mall,"1.333769, 103.849594"
683,Tao Tian Keng Temple,"1.347105, 103.703729"
684,Lee Hwa Diamond Boutique,"1.300030,103.844742"
685,Pu Ti Buddhist Temple,"1.380530,103.896523"
686,Visual Art Trails - Marina Bay,"1.285801,103.851112"
687,Visual Art Trails - Orchard,"1.285801,103.851112"
688,Inscription of the Island,"1.333040,103.965958"
689,Seng Poh Garden & Dancing Girl Sculpture,"1.284880,103.832993"
690,Pasar and the Fortune Teller,"1.283490,103.832359"
691,Tiong Bahru,"1.284854, 103.827327"
692,"Statue: A great emporium, Singapore","1.385380,103.901817"
693,Hougang Mall,"1.372480,103.893768"
694,Church of the Holy Spirit,"1.354660,103.833458"
695,Takashimaya Department Store,"1.302645, 103.835306"
696,"Statue: From Chettiars to Financiers, Singapore","1.316520,103.943001"
697,Church of St. Bernadette,"1.295130,103.830269"
698,Lorong Koo Chye Sheng Hong Temple,"1.326330,103.891747"
699,Leisure Park Kallang,"1.302233, 103.876439"
700,The Sands Theater,"1.281790,103.858749"
702,Shirdi Sai Baba Worship Centre,"1.315320, 103.857932"
703,Bukit Panjang Plaza,"1.379803, 103.764266"
704,Muscat Street,"1.302240,103.858978"
706,Asia Timepiece Centre,"1.301880, 103.853458"
707,Alvin Goh,"1.285801,103.851112"
708,Singapore Expo,"1.333589, 103.959554"
709,iPreciation,"1.305680,103.828049"
710,KGB Transportation Services,"1.275560,103.842827"
711,ArtBlue Studio,"1.282930,103.830078"
712,Ebenex Live Space,"1.337473, 103.886155"
713,Wovensouls,"1.329720,103.722008"
714,Y2arts,"1.281987, 103.819578"
715,Singapore Visitor Centre @ CUBE - Boutique Capsule Hotel (Kampong Glam),"1.301526, 103.859407"
716,11 Playfair Road Singapore 367986,"1.334044, 103.886640"
717,Hatch Art Project,"1.279114, 103.851419"
718,Palitalia,"1.310981, 103.861403"
719,Kidzland,"1.338110,103.793404"
720,Eyemage Gallery,"1.312300,103.862831"
721,Fort Serapong,"1.250522, 103.834064"
722,Evolve Mixed Martial Arts,"1.300180,103.849243"
723,Organic Shop - Himalayan Premium Foods,"1.291980,103.850372"
724,Indoor Premier Cricket,"1.342920,103.794937"
725,The Wine Stable,"1.357060,103.763069"
727,Marc by Marc Jacobs,"1.302850,103.834648"
728,U Factory,"1.276740,103.804680"
729,Tomio Kayama Gallery Singapore,"1.274980,103.804497"
730,Pact,"1.300760,103.839691"
731,Playground @ Big Splash,"1.297170,103.899529"
732,Ota Fine Arts,"1.277670,103.804482"
733,Equator Art Project,"1.274980,103.804497"
734,2902 Gallery,"1.301160,103.847260"
735,The Private Museum,"1.298174, 103.851301"
736,Sana Gallery,"1.276680,103.836823"
737,Ikkan Gallery,"1.292495, 103.837619"
738,Brick Museum and Enterprise,"1.342380,103.776443"
739,Indigo Blue Art,"1.283250,103.843552"
740,Rising Pheonix Drum Tao,"1.290180,103.854439"
742,Toy Factory Productions,"1.282110, 103.844459"
743,Teater Ekamatra,"1.278651, 103.847415"
744,The Necessary Stage,"1.304992, 103.909678"
745,Valentine Willie Fine Art,"1.273120,103.842850"
746,Collectors Contemporary,"1.284520,103.808540"
747,Chan Hampe Galleries,"1.295630,103.853882"
748,Living Portrait Gallery,"1.279250,103.844101"
749,Art Facet,"1.301760,103.772118"
750,Dynasties Antique & Art Gallery,"1.328430,103.753326"
751,Aryaseni Art Gallery,"1.278880,103.840942"
752,Galerie Belvedere,"1.290862, 103.848612"
753,Dragonwick Gallery,"1.326830,103.898262"
754,Aseana Gallery,"1.289170,103.844109"
755,Utterly Art,"1.282750,103.845703"
756,Ming Fang Antique House,"1.281730,103.844780"
757,Shang Antiques,"1.305864, 103.811203"
758,Apsara Antiques & Arts,"1.306200,103.826622"
759,Old Kindergarten,"1.304650,103.850327"
760,Artfolio Gallery,"1.295630,103.853882"
761,Art-2,"1.294400,103.849342"
762,Art Forum,"1.307010,103.837471"
